net,length_um
clknet_0_clk,774.66µm
net1067,689.95µm
net1077,654.59µm
net1037,595.94µm
net882,564.585µm
net1075,556.92µm
net1002,555.7µm
net1078,546.92µm
net896,505.72µm
net1074,504.12µm
net1068,490.145µm
net889,463.97µm
net1062,461.535µm
net1028,448.67µm
net1020,448.47µm
net133,428.66µm
net1026,424.63µm
net1058,418.42µm
net885,413.59µm
net1070,411.02µm
net237,410.505µm
net908,410.3µm
net1072,408.77µm
net1017,408.295µm
net1055,398.51µm
net865,395.64µm
net212,392.46µm
net891,377.02µm
net988,366.265µm
net1059,359.08µm
net1056,357.83µm
net213,354.315µm
net1076,349.53µm
net1108,341.755µm
net1065,338.11µm
net998,336.77µm
net929,333.96µm
net1083,330.93µm
net993,325.715µm
net1049,324.715µm
net943,324.435µm
net928,322.57µm
net284,319.685µm
net926,319.005µm
net966,318.03µm
net963,315.7µm
net1079,313.37µm
net913,312.53µm
net1018,308.18µm
net1061,307.17µm
net1080,305.005µm
net1014,304.7µm
net976,301.39µm
net842,298.23µm
net19,291.81µm
net119,290.085µm
clknet_4_0_0_clk,288.935µm
clknet_4_15_0_clk,286.24µm
net1047,283.94µm
net962,281.835µm
net1063,277.55µm
net98,273.685µm
net725,273.38µm
net975,273.37µm
net215,271.91µm
clk,270.05µm
net878,268.29µm
net7,265.74µm
net950,265.59µm
net85,265.495µm
net329,264.945µm
net1053,260.93µm
net668,260.31µm
net1006,259.675µm
net1039,255.15µm
net876,254.16µm
net925,250.78µm
net228,249.12µm
net932,249.03µm
net217,246.585µm
clknet_1_0__leaf_net778,240.905µm
clknet_4_2_0_clk,240.48µm
net769,237.975µm
net787,237.71µm
net12,237.705µm
net1050,236.86µm
net768,234.96µm
net765,234.49µm
net923,234.05µm
net106,232.095µm
net1041,230.42µm
net1101,228.61µm
net214,226.265µm
net832,225.995µm
net951,225.68µm
net1073,224.95µm
net978,224.23µm
net344,222.92µm
clknet_1_1__leaf_net778,222.8µm
net3,222.35µm
net931,221.79µm
net727,221.07µm
net1071,220.345µm
net92,219.715µm
net0,219.36µm
clknet_4_14_0_clk,219.17µm
net1060,218.94µm
net844,216.395µm
clknet_4_7_0_clk,216.375µm
net4,216.15µm
net340,214.81µm
net831,214.73µm
clknet_1_1__leaf_net946,212.41µm
net758,211.245µm
net378,210.15µm
net880,209.78µm
net1159,207.45µm
net1152,206.88µm
net930,206.72µm
net1019,206.08µm
net1054,205.9µm
net1040,205.875µm
net424,205.135µm
net961,204.775µm
net1004,204.505µm
net315,203.26µm
clknet_1_0__leaf_net959,202.58µm
net328,200.645µm
net113,200.21µm
net124,199.58µm
net455,199.55µm
net722,199.04µm
net1157,198.96µm
net1044,197.205µm
net1015,195.79µm
net1158,195.74µm
net68,195.26µm
net279,193.8µm
net78,193.66µm
clknet_1_1__leaf_net706,193.23µm
net983,193.075µm
net122,190.55µm
clknet_1_1__leaf_net153,189.605µm
net757,189.52µm
net782,188.84µm
net939,188.7µm
clknet_1_0__leaf_net946,188.605µm
net953,187.905µm
clknet_4_11_0_clk,185.33µm
net112,184.91µm
net657,184.57µm
net955,184.3µm
net995,183.46µm
net1064,182.85µm
net40,182.76µm
net936,182.25µm
net724,181.78µm
net894,181.28µm
net1151,180.74µm
net866,179.92µm
net115,179.35µm
net777,178.54µm
net786,178.38µm
net997,178.375µm
net879,176.69µm
net1010,176.18µm
net813,176.16µm
clknet_4_4_0_clk,176.06µm
net970,175.78µm
net1009,173.83µm
net737,173.71µm
net872,173.58µm
net994,173.4µm
net1082,173.36µm
net806,172.94µm
net920,172.34µm
net203,171.99µm
net967,171.445µm
net771,170.69µm
net1003,170.64µm
clknet_4_1_0_clk,170.09µm
net1011,170.07µm
net518,169.93µm
net339,169.415µm
net741,169.105µm
net202,168.605µm
net221,167.845µm
net448,166.835µm
net861,166.24µm
net1125,164.44µm
net999,162.25µm
clknet_1_0__leaf_net153,162.055µm
net394,160.865µm
net547,160.86µm
net95,160.07µm
net702,159.97µm
clknet_4_5_0_clk,159.96µm
clknet_4_10_0_clk,159.66µm
net789,159.56µm
clknet_1_1__leaf_net542,158.74µm
clknet_1_1__leaf_net386,157.92µm
net249,157.47µm
clknet_1_0__leaf_net934,157.1µm
net1007,156.9µm
net17,156.735µm
net454,156.525µm
net1160,156.3µm
net770,155.47µm
net826,154.885µm
net541,154.58µm
net1119,154.405µm
net208,154.17µm
net34,153.65µm
net130,153.52µm
net209,152.84µm
net1043,152.455µm
net481,152.31µm
net1130,151.995µm
clknet_4_6_0_clk,151.61µm
net97,151.02µm
net909,150.95µm
net711,148.46µm
net916,148.34µm
net1036,148.32µm
net222,148.265µm
net89,147.77µm
net377,147.64µm
net1114,147.32µm
net1066,145.7µm
net1081,144.33µm
net370,143.8µm
net900,143.65µm
clknet_4_8_0_clk,142.95µm
net824,142.01µm
net734,141.965µm
net940,141.805µm
clknet_1_0__leaf_net952,141.7µm
net807,141.605µm
net207,140.17µm
net897,139.75µm
net732,139.46µm
net801,138.99µm
net1025,138.59µm
clknet_1_1__leaf_net762,137.68µm
net781,137.65µm
net868,137.43µm
net1113,137.3µm
net756,137.27µm
net903,137.04µm
net736,135.295µm
net942,135.225µm
net1052,135.1µm
net699,133.46µm
net740,133.265µm
net83,132.9µm
net783,132.61µm
net969,132.59µm
net841,131.74µm
net178,131.68µm
net822,130.94µm
net960,130.51µm
net73,130.48µm
net324,129.73µm
net1117,129.13µm
net814,127.87µm
clknet_1_1__leaf_net934,126.5µm
net232,126.46µm
net76,126.12µm
net51,125.805µm
net751,125.61µm
net800,125.35µm
net838,125.32µm
net31,124.18µm
net36,123.965µm
net96,123.675µm
net88,123.11µm
net1093,122.6µm
net200,122.385µm
clknet_1_1__leaf_net927,121.88µm
net933,121.56µm
net317,121.54µm
clknet_1_0__leaf_net330,120.77µm
net808,120.64µm
clknet_4_13_0_clk,120.35µm
net556,120.34µm
net21,120.2µm
net247,118.5µm
clknet_4_3_0_clk,118.38µm
net795,118.2µm
net18,117.74µm
net104,117.58µm
net310,117.06µm
net886,116.38µm
net821,115.74µm
net357,115.065µm
net1045,113.61µm
net1000,112.635µm
net846,112.13µm
net644,112.02µm
clknet_4_12_0_clk,111.445µm
net1129,108.86µm
net1042,108.4µm
net778,108.3µm
net1005,107.965µm
net46,107.3µm
net117,107.28µm
clknet_0_net934,107.22µm
net827,106.7µm
net201,106.26µm
clknet_1_0__leaf_net331,106.06µm
net1048,105.58µm
net669,105.52µm
net1095,105.24µm
net204,105.15µm
clknet_1_0__leaf_net798,104.865µm
net825,104.715µm
net799,104.49µm
net211,104.44µm
net6,104.385µm
