net,length_um
clknet_0_clk,791.255µm
net868,580.59µm
net1045,567.685µm
net873,553.34µm
net986,493.855µm
net1012,486.89µm
net872,476.13µm
net1041,466.99µm
net1027,441.62µm
net1003,438.05µm
net911,432.755µm
net861,431.74µm
net315,427.4µm
net1019,420.655µm
net17,407.55µm
net985,400.15µm
net999,387.5µm
net1035,387.43µm
net1039,377.365µm
net996,375.915µm
net928,369.72µm
net1042,357.76µm
net1037,356.765µm
net4,350.36µm
net209,346.795µm
net126,346.24µm
net234,344.41µm
net1044,343.005µm
net927,342.48µm
net934,340.3µm
net1020,330.11µm
net990,328.43µm
net998,324.73µm
net68,324.5µm
net1040,314.67µm
net992,311.32µm
net75,310.58µm
net901,309.72µm
clknet_4_15_0_clk,309.42µm
net933,308.69µm
net1010,307.25µm
net874,306.69µm
net220,305.87µm
net921,305.57µm
net455,303.66µm
net991,303.61µm
net886,300.7µm
net914,300.33µm
net962,300.12µm
net161,297.11µm
net204,296.63µm
net776,295.88µm
net1002,295.06µm
net916,294.5µm
net1017,293.79µm
net5,293.54µm
net983,292.06µm
net2,292.01µm
net1036,290.88µm
net949,287.5µm
net1025,285.39µm
net978,281.49µm
net798,281.44µm
net96,278.785µm
net895,275.06µm
net1038,273.82µm
net953,273.12µm
net980,270.66µm
net219,268.375µm
net1001,268.025µm
net1031,266.97µm
net1,265.86µm
net314,264.905µm
net917,264.14µm
net1030,262.84µm
net905,261.26µm
clknet_1_0__leaf_net972,257.91µm
net1043,256.81µm
clk,256.58µm
net1006,254.84µm
net967,250.9µm
net937,250.36µm
net227,245.38µm
clknet_4_4_0_clk,243.7µm
net884,242.32µm
net989,239.92µm
net810,239.865µm
net445,239.445µm
net811,238.89µm
net987,234.54µm
net993,229.43µm
net1000,229.11µm
clknet_4_2_0_clk,227.37µm
net246,226.85µm
net111,226.82µm
net887,226.55µm
net981,226.29µm
net1005,225.34µm
net936,224.54µm
clknet_4_14_0_clk,224.27µm
net202,223.73µm
net710,223.595µm
net200,222.67µm
net1032,222.415µm
net7,221.865µm
net550,220.175µm
net982,220.12µm
net984,218.71µm
net109,214.49µm
clknet_4_13_0_clk,214.46µm
net1034,214.03µm
net979,212.735µm
net91,212.52µm
net685,211.81µm
clknet_4_7_0_clk,211.735µm
net771,211.655µm
net1018,211.64µm
net764,209.92µm
net837,209.735µm
net1026,209.06µm
net950,207.725µm
net1028,207.13µm
net995,206.86µm
clknet_4_12_0_clk,206.29µm
net31,206.25µm
net1023,206µm
net166,205.81µm
net964,205.05µm
net799,204.96µm
net87,203.38µm
net78,203.14µm
net952,201.58µm
clknet_4_3_0_clk,200.58µm
net425,199.77µm
net865,199.06µm
net941,199.05µm
net745,197.28µm
net11,197.155µm
net768,196.51µm
clknet_4_0_0_clk,195.575µm
net741,195.54µm
net357,195.11µm
net737,194.835µm
net938,194.54µm
net827,193.38µm
net1007,191.045µm
net885,189.92µm
net1022,188.525µm
net828,188.44µm
net734,188.13µm
net1011,187.86µm
net790,186.895µm
net862,186.6µm
net775,186.52µm
net1004,185.6µm
net549,185.565µm
net39,183.83µm
net266,183.825µm
clknet_4_6_0_clk,182.315µm
net129,181.89µm
net920,181.58µm
net105,179.5µm
clknet_4_8_0_clk,179.05µm
net268,179.005µm
net1021,178.72µm
net738,178.135µm
net748,178.11µm
net997,176.465µm
net343,175.56µm
clknet_1_1__leaf_net972,175.54µm
net103,175.12µm
net836,174.69µm
net988,174.445µm
net724,173.39µm
net945,170.875µm
clknet_1_1__leaf_net957,170.69µm
net716,170.315µm
net104,169.095µm
net83,168.33µm
net326,168.11µm
net833,166.5µm
net128,166.39µm
net647,165.65µm
clknet_4_9_0_clk,163.59µm
net923,163.26µm
net358,161.065µm
net899,160.545µm
net966,160.4µm
net965,160.38µm
net882,160.1µm
net110,159.54µm
net356,158.135µm
net453,157.98µm
net750,155.655µm
net164,155.645µm
net735,154.32µm
net931,154.13µm
net813,153.86µm
net325,153.675µm
net706,152.765µm
net697,150.08µm
net259,149.71µm
net690,149.46µm
clknet_1_0__leaf_net711,148.89µm
net422,147.48µm
net215,147.3µm
net429,146.965µm
net567,146.87µm
net926,146.26µm
clknet_1_1__leaf_net956,145.52µm
net41,145.345µm
net252,145.165µm
net754,144.77µm
clknet_1_0__leaf_net956,144.63µm
clknet_4_1_0_clk,144.46µm
net263,144.19µm
net910,142.84µm
net197,142.24µm
net247,141.64µm
net1024,141.05µm
net113,140.475µm
net77,139.87µm
clknet_1_0__leaf_net925,138.68µm
net19,137.77µm
net767,137.575µm
net955,137.36µm
net149,137.06µm
net809,136.5µm
net880,134.04µm
net438,133.9µm
net310,133.32µm
net359,132.91µm
net867,132.18µm
net718,131.35µm
net728,130.56µm
net819,129.64µm
net67,128.1µm
net25,127.72µm
net465,127.395µm
net58,125.53µm
