Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.799061
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.799061
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.799061
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.799061
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.799061
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.799061
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.799061
FILLER_0_101_559,VPWR,li1,262.8900,285.6000,1.799061
FILLER_0_101_555,VPWR,li1,261.7400,285.6000,1.799061
FILLER_0_101_543,VPWR,li1,258.0600,285.6000,1.799061
FILLER_0_101_531,VPWR,li1,250.0100,285.6000,1.799062
FILLER_0_101_527,VPWR,li1,248.1700,285.6000,1.799062
FILLER_0_101_520,VPWR,li1,244.9500,285.6000,1.799069
FILLER_0_101_510,VPWR,li1,240.5800,285.6000,1.799083
FILLER_0_101_503,VPWR,li1,237.1300,285.6000,1.799102
FILLER_0_101_499,VPWR,li1,235.9800,285.6000,1.799102
FILLER_0_101_492,VPWR,li1,232.0700,285.6000,1.799122
FILLER_0_101_475,VPWR,li1,224.2500,285.6000,1.799180
FILLER_0_101_471,VPWR,li1,222.4100,285.6000,1.799201
FILLER_0_101_447,VPWR,li1,211.3700,285.6000,1.799318
FILLER_0_101_415,VPWR,li1,197.1100,285.6000,1.799482
FILLER_0_101_408,VPWR,li1,193.4300,285.6000,1.799529
FILLER_0_101_401,VPWR,li1,190.2100,285.6000,1.799592
FILLER_0_101_387,VPWR,li1,183.7700,285.6000,1.799680
FILLER_0_101_380,VPWR,li1,180.5500,285.6000,1.799710
FILLER_0_101_373,VPWR,li1,177.3300,285.6000,1.799772
FILLER_0_101_360,VPWR,li1,172.0400,285.6000,1.799817
FILLER_0_101_352,VPWR,li1,167.6700,285.6000,1.799814
FILLER_0_101_345,VPWR,li1,164.4500,285.6000,1.799811
FILLER_0_101_335,VPWR,li1,159.8500,285.6000,1.799809
FILLER_0_101_314,VPWR,li1,150.4200,285.6000,1.799807
FILLER_0_101_307,VPWR,li1,146.9700,285.6000,1.799808
FILLER_0_101_301,VPWR,li1,144.2100,285.6000,1.799809
FILLER_0_101_286,VPWR,li1,137.5400,285.6000,1.799812
FILLER_0_101_279,VPWR,li1,134.0900,285.6000,1.799814
FILLER_0_101_272,VPWR,li1,131.1000,285.6000,1.799817
FILLER_0_101_265,VPWR,li1,127.8800,285.6000,1.799818
FILLER_0_101_258,VPWR,li1,124.6600,285.6000,1.799821
FILLER_0_101_251,VPWR,li1,121.2100,285.6000,1.799823
FILLER_0_101_219,VPWR,li1,106.4900,285.6000,1.799841
FILLER_0_101_205,VPWR,li1,100.0500,285.6000,1.799851
FILLER_0_101_195,VPWR,li1,95.4500,285.6000,1.799858
FILLER_0_101_189,VPWR,li1,92.6900,285.6000,1.799861
FILLER_0_101_181,VPWR,li1,90.6200,285.6000,1.799866
FILLER_0_101_169,VPWR,li1,86.0200,285.6000,1.799872
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.799879
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.799885
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.799894
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799903
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799907
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799917
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799923
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799929
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799939
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799947
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799951
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799961
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.799967
FILLER_0_101_41,VPWR,li1,27.1400,285.6000,1.799973
FILLER_0_101_29,VPWR,li1,21.6200,285.6000,1.799983
FILLER_0_101_27,VPWR,li1,18.1700,285.6000,1.799983
FILLER_0_101_15,VPWR,li1,15.1800,285.6000,1.799983
FILLER_0_101_3,VPWR,li1,9.6600,285.6000,1.799983
FILLER_0_100_613,VPWR,li1,290.2600,285.6000,1.799061
FILLER_0_100_601,VPWR,li1,284.7400,285.6000,1.799061
FILLER_0_100_589,VPWR,li1,279.2200,285.6000,1.799061
FILLER_0_100_587,VPWR,li1,275.7700,285.6000,1.799061
FILLER_0_100_581,VPWR,li1,274.1600,285.6000,1.799061
FILLER_0_100_569,VPWR,li1,270.0200,285.6000,1.799061
FILLER_0_100_557,VPWR,li1,264.5000,285.6000,1.799061
FILLER_0_100_545,VPWR,li1,258.9800,285.6000,1.799061
FILLER_0_100_533,VPWR,li1,253.4600,285.6000,1.799061
FILLER_0_100_530,VPWR,li1,249.7800,285.6000,1.799062
FILLER_0_100_522,VPWR,li1,247.4800,285.6000,1.799062
FILLER_0_100_519,VPWR,li1,244.4900,285.6000,1.799075
FILLER_0_100_513,VPWR,li1,242.8800,285.6000,1.799075
FILLER_0_100_501,VPWR,li1,238.7400,285.6000,1.799090
FILLER_0_100_489,VPWR,li1,233.2200,285.6000,1.799122
FILLER_0_100_477,VPWR,li1,227.7000,285.6000,1.799151
FILLER_0_100_475,VPWR,li1,224.2500,285.6000,1.799180
FILLER_0_100_467,VPWR,li1,222.1800,285.6000,1.799201
FILLER_0_100_461,VPWR,li1,218.5000,285.6000,1.799228
FILLER_0_100_457,VPWR,li1,216.2000,285.6000,1.799254
FILLER_0_100_451,VPWR,li1,213.4400,285.6000,1.799297
FILLER_0_100_441,VPWR,li1,209.7600,285.6000,1.799345
FILLER_0_100_429,VPWR,li1,205.6200,285.6000,1.799378
FILLER_0_100_421,VPWR,li1,200.1000,285.6000,1.799459
FILLER_0_100_419,VPWR,li1,198.4900,285.6000,1.799482
FILLER_0_100_415,VPWR,li1,197.3400,285.6000,1.799482
FILLER_0_100_403,VPWR,li1,193.6600,285.6000,1.799529
FILLER_0_100_383,VPWR,li1,183.0800,285.6000,1.799680
FILLER_0_100_377,VPWR,li1,179.4000,285.6000,1.799741
FILLER_0_100_363,VPWR,li1,172.7300,285.6000,1.799817
FILLER_0_100_360,VPWR,li1,171.3500,285.6000,1.799816
FILLER_0_100_356,VPWR,li1,170.2000,285.6000,1.799816
FILLER_0_100_346,VPWR,li1,166.5200,285.6000,1.799812
FILLER_0_100_343,VPWR,li1,163.5300,285.6000,1.799811
FILLER_0_100_335,VPWR,li1,161.4600,285.6000,1.799810
FILLER_0_100_327,VPWR,li1,156.6300,285.6000,1.799808
FILLER_0_100_319,VPWR,li1,154.1000,285.6000,1.799808
FILLER_0_100_304,VPWR,li1,146.2800,285.6000,1.799808
FILLER_0_100_289,VPWR,li1,139.8400,285.6000,1.799811
FILLER_0_100_277,VPWR,li1,135.7000,285.6000,1.799814
FILLER_0_100_265,VPWR,li1,130.1800,285.6000,1.799817
FILLER_0_100_253,VPWR,li1,124.6600,285.6000,1.799821
FILLER_0_100_251,VPWR,li1,121.2100,285.6000,1.799823
FILLER_0_100_245,VPWR,li1,118.4500,285.6000,1.799827
FILLER_0_100_241,VPWR,li1,117.3000,285.6000,1.799827
FILLER_0_100_237,VPWR,li1,115.0000,285.6000,1.799831
FILLER_0_100_234,VPWR,li1,113.3900,285.6000,1.799831
FILLER_0_100_226,VPWR,li1,111.3200,285.6000,1.799833
FILLER_0_100_221,VPWR,li1,107.8700,285.6000,1.799838
FILLER_0_100_207,VPWR,li1,103.5000,285.6000,1.799845
FILLER_0_100_199,VPWR,li1,98.4400,285.6000,1.799851
FILLER_0_100_195,VPWR,li1,95.4500,285.6000,1.799858
FILLER_0_100_189,VPWR,li1,93.8400,285.6000,1.799861
FILLER_0_100_177,VPWR,li1,89.7000,285.6000,1.799866
FILLER_0_100_165,VPWR,li1,84.1800,285.6000,1.799875
FILLER_0_100_153,VPWR,li1,78.6600,285.6000,1.799885
FILLER_0_100_141,VPWR,li1,73.1400,285.6000,1.799894
FILLER_0_100_139,VPWR,li1,69.6900,285.6000,1.799903
FILLER_0_100_133,VPWR,li1,68.0800,285.6000,1.799903
FILLER_0_100_121,VPWR,li1,63.9400,285.6000,1.799910
FILLER_0_100_109,VPWR,li1,58.4200,285.6000,1.799920
FILLER_0_100_97,VPWR,li1,52.9000,285.6000,1.799929
FILLER_0_100_85,VPWR,li1,47.3800,285.6000,1.799939
FILLER_0_100_83,VPWR,li1,43.9300,285.6000,1.799947
FILLER_0_100_77,VPWR,li1,42.3200,285.6000,1.799947
FILLER_0_100_65,VPWR,li1,38.1800,285.6000,1.799954
FILLER_0_100_53,VPWR,li1,32.6600,285.6000,1.799964
FILLER_0_100_41,VPWR,li1,27.1400,285.6000,1.799973
FILLER_0_100_29,VPWR,li1,21.6200,285.6000,1.799983
FILLER_0_100_27,VPWR,li1,18.1700,285.6000,1.799983
FILLER_0_100_15,VPWR,li1,15.1800,285.6000,1.799983
FILLER_0_100_3,VPWR,li1,9.6600,285.6000,1.799983
FILLER_0_99_617,VPWR,li1,291.1800,280.1600,1.799694
FILLER_0_99_615,VPWR,li1,288.6500,280.1600,1.799694
FILLER_0_99_609,VPWR,li1,287.0400,280.1600,1.799694
FILLER_0_99_597,VPWR,li1,282.9000,280.1600,1.799694
FILLER_0_99_585,VPWR,li1,277.3800,280.1600,1.799694
FILLER_0_99_573,VPWR,li1,271.8600,280.1600,1.799694
FILLER_0_99_561,VPWR,li1,266.3400,280.1600,1.799694
FILLER_0_99_559,VPWR,li1,262.8900,280.1600,1.799694
FILLER_0_99_553,VPWR,li1,261.2800,280.1600,1.799694
FILLER_0_99_541,VPWR,li1,257.1400,280.1600,1.799694
FILLER_0_99_529,VPWR,li1,251.6200,280.1600,1.799694
FILLER_0_99_517,VPWR,li1,246.1000,280.1600,1.799694
FILLER_0_99_505,VPWR,li1,240.5800,280.1600,1.799694
FILLER_0_99_503,VPWR,li1,237.1300,280.1600,1.799694
FILLER_0_99_495,VPWR,li1,235.0600,280.1600,1.799694
FILLER_0_99_474,VPWR,li1,224.0200,280.1600,1.799712
FILLER_0_99_466,VPWR,li1,221.7200,280.1600,1.799717
FILLER_0_99_438,VPWR,li1,207.2300,280.1600,1.799756
FILLER_0_99_434,VPWR,li1,206.0800,280.1600,1.799762
FILLER_0_99_422,VPWR,li1,202.4000,280.1600,1.799774
FILLER_0_99_407,VPWR,li1,194.1200,280.1600,1.799808
FILLER_0_99_367,VPWR,li1,174.5700,280.1600,1.799903
FILLER_0_99_337,VPWR,li1,160.7700,280.1600,1.799858
FILLER_0_99_335,VPWR,li1,159.8500,280.1600,1.799855
FILLER_0_99_330,VPWR,li1,157.5500,280.1600,1.799853
FILLER_0_99_326,VPWR,li1,156.4000,280.1600,1.799853
FILLER_0_99_279,VPWR,li1,134.0900,280.1600,1.799848
FILLER_0_99_249,VPWR,li1,122.8200,280.1600,1.799862
FILLER_0_99_237,VPWR,li1,117.3000,280.1600,1.799868
FILLER_0_99_225,VPWR,li1,111.7800,280.1600,1.799875
FILLER_0_99_223,VPWR,li1,108.3300,280.1600,1.799881
FILLER_0_99_217,VPWR,li1,106.7200,280.1600,1.799881
FILLER_0_99_205,VPWR,li1,102.5800,280.1600,1.799886
