Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.797859
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.797859
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.797859
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.797859
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.797859
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.797859
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.797859
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.797859
FILLER_0_101_545,VPWR,li1,258.9800,285.6000,1.797859
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.797859
FILLER_0_101_530,VPWR,li1,249.7800,285.6000,1.797859
FILLER_0_101_522,VPWR,li1,247.4800,285.6000,1.797859
FILLER_0_101_513,VPWR,li1,241.7300,285.6000,1.797860
FILLER_0_101_503,VPWR,li1,237.1300,285.6000,1.797861
FILLER_0_101_490,VPWR,li1,231.1500,285.6000,1.797865
FILLER_0_101_482,VPWR,li1,229.0800,285.6000,1.797866
FILLER_0_101_477,VPWR,li1,225.4000,285.6000,1.797880
FILLER_0_101_475,VPWR,li1,224.2500,285.6000,1.797880
FILLER_0_101_463,VPWR,li1,221.2600,285.6000,1.797896
FILLER_0_101_457,VPWR,li1,215.9700,285.6000,1.797925
FILLER_0_101_449,VPWR,li1,213.9000,285.6000,1.797958
FILLER_0_101_442,VPWR,li1,210.2200,285.6000,1.797988
FILLER_0_101_433,VPWR,li1,205.6200,285.6000,1.798037
FILLER_0_101_421,VPWR,li1,201.9400,285.6000,1.798110
FILLER_0_101_417,VPWR,li1,198.0300,285.6000,1.798210
FILLER_0_101_405,VPWR,li1,192.7400,285.6000,1.798385
FILLER_0_101_393,VPWR,li1,189.0600,285.6000,1.798607
FILLER_0_101_389,VPWR,li1,185.1500,285.6000,1.798843
FILLER_0_101_377,VPWR,li1,181.7000,285.6000,1.799051
FILLER_0_101_365,VPWR,li1,176.1800,285.6000,1.799429
FILLER_0_101_361,VPWR,li1,172.2700,285.6000,1.799444
FILLER_0_101_349,VPWR,li1,168.8200,285.6000,1.799451
FILLER_0_101_337,VPWR,li1,163.3000,285.6000,1.799470
FILLER_0_101_335,VPWR,li1,159.8500,285.6000,1.799481
FILLER_0_101_323,VPWR,li1,156.8600,285.6000,1.799494
FILLER_0_101_311,VPWR,li1,151.3400,285.6000,1.799514
FILLER_0_101_307,VPWR,li1,146.9700,285.6000,1.799524
FILLER_0_101_293,VPWR,li1,140.7600,285.6000,1.799545
FILLER_0_101_281,VPWR,li1,137.5400,285.6000,1.799557
FILLER_0_101_277,VPWR,li1,133.6300,285.6000,1.799570
FILLER_0_101_265,VPWR,li1,130.1800,285.6000,1.799582
FILLER_0_101_253,VPWR,li1,124.6600,285.6000,1.799602
FILLER_0_101_249,VPWR,li1,120.7500,285.6000,1.799619
FILLER_0_101_237,VPWR,li1,117.3000,285.6000,1.799627
FILLER_0_101_225,VPWR,li1,111.7800,285.6000,1.799646
FILLER_0_101_221,VPWR,li1,107.8700,285.6000,1.799660
FILLER_0_101_209,VPWR,li1,104.4200,285.6000,1.799672
FILLER_0_101_197,VPWR,li1,98.9000,285.6000,1.799691
FILLER_0_101_188,VPWR,li1,93.8400,285.6000,1.799709
FILLER_0_101_181,VPWR,li1,89.2400,285.6000,1.799725
FILLER_0_101_169,VPWR,li1,86.0200,285.6000,1.799736
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.799750
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.799762
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.799782
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799800
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799808
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799828
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799842
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799854
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799873
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799891
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799899
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799919
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.799933
FILLER_0_101_41,VPWR,li1,27.1400,285.6000,1.799945
FILLER_0_101_29,VPWR,li1,21.6200,285.6000,1.799965
FILLER_0_101_27,VPWR,li1,18.1700,285.6000,1.799965
FILLER_0_101_15,VPWR,li1,15.1800,285.6000,1.799965
FILLER_0_101_3,VPWR,li1,9.6600,285.6000,1.799965
FILLER_0_100_613,VPWR,li1,290.2600,285.6000,1.797859
FILLER_0_100_601,VPWR,li1,284.7400,285.6000,1.797859
FILLER_0_100_589,VPWR,li1,279.2200,285.6000,1.797859
FILLER_0_100_587,VPWR,li1,275.7700,285.6000,1.797859
FILLER_0_100_581,VPWR,li1,274.1600,285.6000,1.797859
FILLER_0_100_569,VPWR,li1,270.0200,285.6000,1.797859
FILLER_0_100_557,VPWR,li1,264.5000,285.6000,1.797859
FILLER_0_100_545,VPWR,li1,258.9800,285.6000,1.797859
FILLER_0_100_533,VPWR,li1,253.4600,285.6000,1.797859
