net,length_um
clknet_0_clk,765.64µm
net793,483.255µm
net721,439.17µm
net341,434.175µm
net673,427.515µm
net684,424.825µm
net726,413.83µm
net736,389.26µm
net747,374.965µm
net740,362.32µm
net326,356.29µm
net90,331.58µm
net689,325.97µm
net792,322.99µm
net679,309.235µm
net704,306.495µm
net743,305.71µm
net693,304.29µm
net193,295.18µm
net16,289.025µm
net674,284.825µm
net7,279.955µm
net671,273.04µm
net97,260.47µm
net791,254.9µm
net131,251.99µm
net760,248.305µm
clk,248.03µm
net794,247.43µm
clknet_4_11_0_clk,237.61µm
net690,237.35µm
net93,235.08µm
net134,233.74µm
net795,233.3µm
net688,233.1µm
net676,227.96µm
net742,227.26µm
net200,221.23µm
net735,220.35µm
net411,217.76µm
net108,216.45µm
net301,206.76µm
net135,202.72µm
net196,201.88µm
net2,200.54µm
net349,198.22µm
net199,197.84µm
net733,195.695µm
net18,195.195µm
net103,192.74µm
net447,190.565µm
net729,188.565µm
net113,185.98µm
net768,185.24µm
clknet_4_5_0_clk,184.49µm
net5,184.27µm
net703,181.51µm
net67,180.36µm
net188,179.88µm
net29,179.145µm
net236,178.145µm
net254,177.84µm
net289,176.53µm
net459,175.91µm
net762,175.86µm
net691,173.28µm
net264,172.88µm
net413,172.4µm
net790,170.3µm
net687,168.72µm
net728,168.2µm
net233,163.895µm
net710,161.88µm
clknet_4_2_0_clk,161.6µm
net164,160.88µm
net362,159.485µm
net672,159.42µm
clknet_4_4_0_clk,158.8µm
net234,158.38µm
net723,157.49µm
net732,156.795µm
net741,155.795µm
net761,155.08µm
net219,154.84µm
net443,153.42µm
net530,152.64µm
net162,150.74µm
net320,146.61µm
net145,144.3µm
net823,144.04µm
net211,141.81µm
clknet_4_8_0_clk,141.76µm
net713,139.72µm
net825,139.24µm
net203,138.3µm
net76,136.62µm
clknet_4_9_0_clk,136.6µm
net112,136.14µm
net436,135.88µm
net187,134.215µm
net420,134.04µm
net681,133.86µm
net789,133µm
clknet_4_7_0_clk,132.99µm
clknet_4_10_0_clk,132.74µm
net292,132.16µm
net346,130.325µm
net429,130.095µm
net763,129.945µm
net809,129.88µm
net746,128.28µm
clknet_4_6_0_clk,127.72µm
net517,123.41µm
net422,123.255µm
net715,122.3µm
net709,121.82µm
clknet_4_14_0_clk,121.22µm
net435,120.625µm
net190,120.44µm
net564,119.52µm
net30,118.105µm
net785,117.27µm
net529,115.895µm
net542,115.39µm
net512,114.205µm
net701,113.8µm
net266,113.185µm
net686,112.66µm
net737,112.46µm
net755,111.54µm
net685,110.64µm
net749,110.3µm
net148,110.285µm
net313,110.055µm
net427,109.08µm
net354,108.62µm
net525,108.475µm
net72,108.1µm
net314,107.52µm
net206,107.44µm
net342,107.17µm
net14,106.94µm
net683,106.94µm
net194,106.9µm
net125,106.2µm
net306,105.82µm
net632,105.44µm
net754,104.36µm
clknet_4_13_0_clk,103.88µm
net675,102.96µm
net522,102.82µm
net66,101.125µm
net117,99.76µm
net805,99.74µm
net438,99.57µm
net217,99.33µm
net734,98.88µm
net323,98.63µm
net532,98.16µm
net817,97.36µm
