Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VGND,li1,291.1800,288.3200,0.000144
FILLER_0_101_613,VGND,li1,288.1900,288.3200,0.000144
FILLER_0_101_601,VGND,li1,284.7400,288.3200,0.000144
FILLER_0_101_589,VGND,li1,279.2200,288.3200,0.000144
FILLER_0_101_585,VGND,li1,275.3100,288.3200,0.000144
FILLER_0_101_573,VGND,li1,271.8600,288.3200,0.000144
FILLER_0_101_561,VGND,li1,266.3400,288.3200,0.000144
FILLER_0_101_557,VGND,li1,262.4300,288.3200,0.000144
FILLER_0_101_545,VGND,li1,258.9800,288.3200,0.000144
FILLER_0_101_533,VGND,li1,253.4600,288.3200,0.000144
FILLER_0_101_529,VGND,li1,249.5500,288.3200,0.000144
FILLER_0_101_517,VGND,li1,246.1000,288.3200,0.000144
FILLER_0_101_505,VGND,li1,240.5800,288.3200,0.000144
FILLER_0_101_501,VGND,li1,236.6700,288.3200,0.000144
FILLER_0_101_489,VGND,li1,233.2200,288.3200,0.000144
FILLER_0_101_477,VGND,li1,227.7000,288.3200,0.000144
FILLER_0_101_475,VGND,li1,224.2500,288.3200,0.000144
FILLER_0_101_471,VGND,li1,223.1000,288.3200,0.000144
FILLER_0_101_457,VGND,li1,217.1200,288.3200,0.000143
FILLER_0_101_447,VGND,li1,211.3700,288.3200,0.000142
FILLER_0_101_439,VGND,li1,209.3000,288.3200,0.000141
FILLER_0_101_427,VGND,li1,204.7000,288.3200,0.000139
FILLER_0_101_417,VGND,li1,198.0300,288.3200,0.000136
FILLER_0_101_389,VGND,li1,184.6900,288.3200,0.000115
FILLER_0_101_380,VGND,li1,180.5500,288.3200,0.000109
FILLER_0_101_373,VGND,li1,177.3300,288.3200,0.000116
FILLER_0_101_363,VGND,li1,172.7300,288.3200,0.000150
FILLER_0_101_333,VGND,li1,159.3900,288.3200,0.000248
FILLER_0_101_324,VGND,li1,154.7900,288.3200,0.000281
FILLER_0_101_317,VGND,li1,151.5700,288.3200,0.000301
FILLER_0_101_309,VGND,li1,148.1200,288.3200,0.000316
FILLER_0_101_301,VGND,li1,144.2100,288.3200,0.000335
FILLER_0_101_279,VGND,li1,134.0900,288.3200,0.000382
FILLER_0_101_275,VGND,li1,132.2500,288.3200,0.000386
FILLER_0_101_268,VGND,li1,129.0300,288.3200,0.000389
FILLER_0_101_261,VGND,li1,125.8100,288.3200,0.000392
FILLER_0_101_253,VGND,li1,122.3600,288.3200,0.000394
FILLER_0_101_225,VGND,li1,109.2500,288.3200,0.000382
FILLER_0_101_211,VGND,li1,102.8100,288.3200,0.000366
FILLER_0_101_205,VGND,li1,100.0500,288.3200,0.000355
FILLER_0_101_197,VGND,li1,96.6000,288.3200,0.000350
FILLER_0_101_165,VGND,li1,82.1100,288.3200,0.000300
FILLER_0_101_156,VGND,li1,77.5100,288.3200,0.000282
FILLER_0_101_149,VGND,li1,74.2900,288.3200,0.000268
FILLER_0_101_139,VGND,li1,69.6900,288.3200,0.000255
FILLER_0_101_135,VGND,li1,67.8500,288.3200,0.000247
FILLER_0_101_128,VGND,li1,64.6300,288.3200,0.000233
FILLER_0_101_121,VGND,li1,61.4100,288.3200,0.000218
FILLER_0_101_113,VGND,li1,59.3400,288.3200,0.000208
FILLER_0_101_109,VGND,li1,56.3500,288.3200,0.000194
FILLER_0_101_97,VGND,li1,52.9000,288.3200,0.000178
FILLER_0_101_85,VGND,li1,47.3800,288.3200,0.000152
FILLER_0_101_81,VGND,li1,43.4700,288.3200,0.000134
FILLER_0_101_69,VGND,li1,40.0200,288.3200,0.000117
FILLER_0_101_57,VGND,li1,34.5000,288.3200,0.000091
FILLER_0_101_53,VGND,li1,30.5900,288.3200,0.000073
FILLER_0_101_41,VGND,li1,27.1400,288.3200,0.000057
FILLER_0_101_29,VGND,li1,21.6200,288.3200,0.000047
FILLER_0_101_27,VGND,li1,18.1700,288.3200,0.000047
FILLER_0_101_15,VGND,li1,15.1800,288.3200,0.000047
FILLER_0_101_3,VGND,li1,9.6600,288.3200,0.000047
FILLER_0_100_613,VGND,li1,290.2600,282.8800,0.000055
FILLER_0_100_601,VGND,li1,284.7400,282.8800,0.000055
FILLER_0_100_589,VGND,li1,279.2200,282.8800,0.000055
FILLER_0_100_587,VGND,li1,275.7700,282.8800,0.000055
FILLER_0_100_581,VGND,li1,274.1600,282.8800,0.000055
FILLER_0_100_569,VGND,li1,270.0200,282.8800,0.000055
