Metric,Value
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,66
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0016483565559610724
power__switching__total,0.0010861841728910804
power__leakage__total,1.7167705479437245e-08
power__total,0.002734557958319783
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.190185
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.190185
timing__hold__ws__corner:nom_tt_025C_1v80,0.087346
timing__setup__ws__corner:nom_tt_025C_1v80,-1.722872
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-72.501228
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,-1.722872
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.301229
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,97
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,-0.2435
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,7
design__max_slew_violation__count__corner:nom_ss_100C_1v60,46
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,66
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.281479
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.281479
timing__hold__ws__corner:nom_ss_100C_1v60,0.376574
timing__setup__ws__corner:nom_ss_100C_1v60,-5.881136
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-565.672974
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.881136
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.838127
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,253
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.571921
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,37
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,66
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.133705
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.133705
timing__hold__ws__corner:nom_ff_n40C_1v95,-0.036534
timing__setup__ws__corner:nom_ff_n40C_1v95,-0.449115
timing__hold__tns__corner:nom_ff_n40C_1v95,-0.06826
timing__setup__tns__corner:nom_ff_n40C_1v95,-2.155065
timing__hold__wns__corner:nom_ff_n40C_1v95,-0.036534
