net,length_um
clknet_0_clk,666.98µm
net671,588.605µm
net209,558.06µm
net672,441.74µm
net79,406.93µm
net734,391.63µm
net204,379.055µm
net93,378.98µm
net740,370.93µm
net766,342.62µm
net737,337.31µm
net104,327.94µm
net673,305.07µm
net752,303.57µm
net780,302.69µm
net220,300.02µm
net765,299.07µm
net74,298.46µm
net339,296.64µm
net768,294.86µm
net751,286.155µm
net777,285.26µm
net758,279.46µm
net676,276.715µm
net698,272.67µm
net714,267.76µm
clk,264.79µm
net701,264.6µm
net252,263.31µm
net742,258.875µm
net754,256.96µm
net772,256.44µm
net729,253.29µm
net114,248.26µm
net711,243.16µm
net433,239.21µm
net782,236.08µm
net851,235.34µm
net702,234.46µm
net715,230.22µm
net677,227.16µm
net99,226.9µm
net679,223.36µm
net682,218.97µm
net112,213.76µm
net141,211.005µm
net464,208.42µm
net86,207.64µm
net46,204.905µm
net713,202.96µm
net21,200.9µm
clknet_4_12_0_clk,200.37µm
net267,193.44µm
net744,192.18µm
net447,190.395µm
net779,189.28µm
net95,187.22µm
net736,185.31µm
net739,183.85µm
net763,183.36µm
net743,178.98µm
clknet_4_9_0_clk,177.08µm
net195,172.525µm
net118,172.45µm
net127,170.7µm
net145,168.81µm
net725,166.99µm
net182,165.32µm
net363,165.255µm
clknet_4_5_0_clk,164.36µm
net773,164.18µm
net225,161.86µm
net117,161.78µm
net546,158.66µm
clknet_4_11_0_clk,157.945µm
net48,157.355µm
net445,154.27µm
net439,153.75µm
net171,153.45µm
net699,151.48µm
net784,150.12µm
net148,148.3µm
net501,147.82µm
clknet_4_8_0_clk,147.76µm
net72,147.61µm
clknet_4_10_0_clk,147.56µm
net458,146.85µm
net488,146.44µm
net344,146.06µm
net88,145.58µm
net406,144.77µm
net431,142.13µm
net424,139.94µm
net98,139.5µm
net11,138.74µm
net75,138.54µm
net343,137.98µm
net216,137.38µm
net847,135.8µm
net142,135.62µm
net116,135.52µm
net200,134.97µm
net797,133.755µm
clknet_4_4_0_clk,133.585µm
net346,132.68µm
net690,132.08µm
net722,131.7µm
net783,131.365µm
net539,131.07µm
net38,130.4µm
clknet_4_15_0_clk,130.38µm
clknet_4_2_0_clk,129.38µm
net446,128.96µm
net83,126.715µm
net771,126.36µm
clknet_4_14_0_clk,125.04µm
net717,124.9µm
net24,123.825µm
net265,123.6µm
clknet_4_13_0_clk,122.98µm
net61,122.72µm
net135,121.7µm
net67,121.54µm
clknet_4_6_0_clk,120.99µm
net353,120.22µm
net824,120.1µm
net277,118.2µm
net577,118.13µm
net570,117.15µm
net13,115.97µm
net473,114.7µm
net113,114.68µm
net318,111.74µm
net259,111.69µm
clknet_4_7_0_clk,109.97µm
net474,109.74µm
net688,107.56µm
net564,107.37µm
net549,106.885µm
net757,106.58µm
net47,105.155µm
net678,103.9µm
net12,103.78µm
net557,102.65µm
net769,100.89µm
net494,100.33µm
net238,100.24µm
net140,98.925µm
net144,98.895µm
net704,98.48µm
clknet_4_3_0_clk,98.35µm
net495,97.63µm
net326,97.28µm
net370,96.11µm
net852,96.08µm
net732,95.96µm
net40,95.35µm
net218,95.34µm
net470,95.34µm
clknet_1_0__leaf_net388,95.075µm
net719,93.96µm
net666,93.72µm
net482,92.85µm
clknet_1_0__leaf_net377,92.64µm
net753,92.16µm
net440,91.63µm
net347,91.34µm
net388,91.02µm
net545,90.84µm
net89,90.7µm
net382,89.225µm
clknet_1_1__leaf_net388,88.525µm
net82,87.26µm
net657,86.5µm
net338,85.78µm
net738,85.42µm
net685,85.38µm
net735,84.6µm
net590,83.735µm
net741,83.56µm
net541,83.37µm
net444,82.74µm
net1,82.5µm
net119,81.84µm
net551,81.8µm
net28,81.42µm
net432,79.12µm
net334,78.08µm
net764,77.78µm
net694,77.54µm
net111,77.32µm
net408,76.66µm
net536,76.61µm
