Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.799740
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.799740
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.799740
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.799740
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.799740
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.799740
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.799740
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.799740
FILLER_0_101_545,VPWR,li1,258.9800,285.6000,1.799740
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.799740
FILLER_0_101_529,VPWR,li1,249.5500,285.6000,1.799740
FILLER_0_101_517,VPWR,li1,246.1000,285.6000,1.799740
FILLER_0_101_505,VPWR,li1,240.5800,285.6000,1.799740
FILLER_0_101_501,VPWR,li1,236.6700,285.6000,1.799740
FILLER_0_101_489,VPWR,li1,233.2200,285.6000,1.799740
FILLER_0_101_477,VPWR,li1,227.7000,285.6000,1.799740
FILLER_0_101_473,VPWR,li1,223.7900,285.6000,1.799740
FILLER_0_101_464,VPWR,li1,219.1900,285.6000,1.799741
FILLER_0_101_457,VPWR,li1,215.9700,285.6000,1.799746
FILLER_0_101_451,VPWR,li1,214.3600,285.6000,1.799746
FILLER_0_101_441,VPWR,li1,208.6100,285.6000,1.799757
FILLER_0_101_429,VPWR,li1,205.6200,285.6000,1.799760
FILLER_0_101_421,VPWR,li1,199.6400,285.6000,1.799775
FILLER_0_101_419,VPWR,li1,198.4900,285.6000,1.799783
FILLER_0_101_389,VPWR,li1,184.6900,285.6000,1.799859
FILLER_0_101_380,VPWR,li1,180.5500,285.6000,1.799890
FILLER_0_101_371,VPWR,li1,176.4100,285.6000,1.799913
FILLER_0_101_365,VPWR,li1,174.8000,285.6000,1.799908
FILLER_0_101_361,VPWR,li1,172.2700,285.6000,1.799903
FILLER_0_101_352,VPWR,li1,167.6700,285.6000,1.799892
FILLER_0_101_343,VPWR,li1,163.5300,285.6000,1.799886
FILLER_0_101_337,VPWR,li1,161.9200,285.6000,1.799886
FILLER_0_101_335,VPWR,li1,159.8500,285.6000,1.799882
FILLER_0_101_329,VPWR,li1,157.0900,285.6000,1.799877
FILLER_0_101_317,VPWR,li1,154.1000,285.6000,1.799876
FILLER_0_101_305,VPWR,li1,146.5100,285.6000,1.799870
FILLER_0_101_293,VPWR,li1,143.0600,285.6000,1.799869
FILLER_0_101_281,VPWR,li1,137.5400,285.6000,1.799867
FILLER_0_101_268,VPWR,li1,131.5600,285.6000,1.799864
FILLER_0_101_259,VPWR,li1,125.3500,285.6000,1.799865
FILLER_0_101_249,VPWR,li1,120.7500,285.6000,1.799870
FILLER_0_101_237,VPWR,li1,117.3000,285.6000,1.799873
FILLER_0_101_225,VPWR,li1,111.7800,285.6000,1.799879
FILLER_0_101_221,VPWR,li1,107.8700,285.6000,1.799884
FILLER_0_101_209,VPWR,li1,104.4200,285.6000,1.799888
FILLER_0_101_197,VPWR,li1,98.9000,285.6000,1.799895
FILLER_0_101_193,VPWR,li1,94.9900,285.6000,1.799901
FILLER_0_101_181,VPWR,li1,91.5400,285.6000,1.799904
FILLER_0_101_169,VPWR,li1,86.0200,285.6000,1.799910
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.799915
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.799919
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.799926
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799932
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799935
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799941
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799946
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799950
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799957
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799963
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799966
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799972
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.799977
FILLER_0_101_41,VPWR,li1,27.1400,285.6000,1.799981
FILLER_0_101_29,VPWR,li1,21.6200,285.6000,1.799988
FILLER_0_101_27,VPWR,li1,18.1700,285.6000,1.799988
FILLER_0_101_15,VPWR,li1,15.1800,285.6000,1.799988
FILLER_0_101_3,VPWR,li1,9.6600,285.6000,1.799988
FILLER_0_100_613,VPWR,li1,290.2600,285.6000,1.799740
FILLER_0_100_601,VPWR,li1,284.7400,285.6000,1.799740
FILLER_0_100_589,VPWR,li1,279.2200,285.6000,1.799740
FILLER_0_100_587,VPWR,li1,275.7700,285.6000,1.799740
FILLER_0_100_581,VPWR,li1,274.1600,285.6000,1.799740
FILLER_0_100_569,VPWR,li1,270.0200,285.6000,1.799740
FILLER_0_100_557,VPWR,li1,264.5000,285.6000,1.799740
FILLER_0_100_545,VPWR,li1,258.9800,285.6000,1.799740
FILLER_0_100_533,VPWR,li1,253.4600,285.6000,1.799740
FILLER_0_100_531,VPWR,li1,250.0100,285.6000,1.799740
FILLER_0_100_525,VPWR,li1,248.4000,285.6000,1.799740
FILLER_0_100_513,VPWR,li1,244.2600,285.6000,1.799740
FILLER_0_100_501,VPWR,li1,238.7400,285.6000,1.799740
FILLER_0_100_489,VPWR,li1,233.2200,285.6000,1.799740
FILLER_0_100_477,VPWR,li1,227.7000,285.6000,1.799740
FILLER_0_100_475,VPWR,li1,224.2500,285.6000,1.799740
FILLER_0_100_469,VPWR,li1,222.6400,285.6000,1.799740
FILLER_0_100_457,VPWR,li1,218.5000,285.6000,1.799741
FILLER_0_100_445,VPWR,li1,212.9800,285.6000,1.799749
FILLER_0_100_433,VPWR,li1,207.4600,285.6000,1.799757
FILLER_0_100_421,VPWR,li1,201.9400,285.6000,1.799767
FILLER_0_100_417,VPWR,li1,198.0300,285.6000,1.799783
FILLER_0_100_405,VPWR,li1,194.5800,285.6000,1.799803
FILLER_0_100_401,VPWR,li1,190.4400,285.6000,1.799820
FILLER_0_100_389,VPWR,li1,187.2200,285.6000,1.799846
FILLER_0_100_377,VPWR,li1,181.7000,285.6000,1.799873
FILLER_0_100_365,VPWR,li1,176.1800,285.6000,1.799913
FILLER_0_100_363,VPWR,li1,172.7300,285.6000,1.799903
FILLER_0_100_357,VPWR,li1,171.1200,285.6000,1.799903
FILLER_0_100_345,VPWR,li1,166.9800,285.6000,1.799892
FILLER_0_100_333,VPWR,li1,161.4600,285.6000,1.799882
FILLER_0_100_321,VPWR,li1,155.9400,285.6000,1.799877
FILLER_0_100_309,VPWR,li1,150.4200,285.6000,1.799872
FILLER_0_100_307,VPWR,li1,146.9700,285.6000,1.799870
FILLER_0_100_301,VPWR,li1,145.3600,285.6000,1.799870
FILLER_0_100_289,VPWR,li1,141.2200,285.6000,1.799869
FILLER_0_100_277,VPWR,li1,135.7000,285.6000,1.799866
FILLER_0_100_265,VPWR,li1,130.1800,285.6000,1.799864
FILLER_0_100_253,VPWR,li1,124.6600,285.6000,1.799865
FILLER_0_100_251,VPWR,li1,121.2100,285.6000,1.799870
FILLER_0_100_245,VPWR,li1,119.6000,285.6000,1.799870
FILLER_0_100_233,VPWR,li1,115.4600,285.6000,1.799875
FILLER_0_100_221,VPWR,li1,109.9400,285.6000,1.799882
FILLER_0_100_209,VPWR,li1,104.4200,285.6000,1.799888
FILLER_0_100_197,VPWR,li1,98.9000,285.6000,1.799895
FILLER_0_100_195,VPWR,li1,95.4500,285.6000,1.799901
FILLER_0_100_189,VPWR,li1,93.8400,285.6000,1.799901
FILLER_0_100_177,VPWR,li1,89.7000,285.6000,1.799906
FILLER_0_100_165,VPWR,li1,84.1800,285.6000,1.799913
FILLER_0_100_153,VPWR,li1,78.6600,285.6000,1.799919
FILLER_0_100_141,VPWR,li1,73.1400,285.6000,1.799926
FILLER_0_100_139,VPWR,li1,69.6900,285.6000,1.799932
FILLER_0_100_133,VPWR,li1,68.0800,285.6000,1.799932
FILLER_0_100_121,VPWR,li1,63.9400,285.6000,1.799937
FILLER_0_100_109,VPWR,li1,58.4200,285.6000,1.799944
FILLER_0_100_97,VPWR,li1,52.9000,285.6000,1.799950
FILLER_0_100_85,VPWR,li1,47.3800,285.6000,1.799957
FILLER_0_100_83,VPWR,li1,43.9300,285.6000,1.799963
FILLER_0_100_77,VPWR,li1,42.3200,285.6000,1.799963
FILLER_0_100_65,VPWR,li1,38.1800,285.6000,1.799968
FILLER_0_100_53,VPWR,li1,32.6600,285.6000,1.799975
FILLER_0_100_41,VPWR,li1,27.1400,285.6000,1.799981
FILLER_0_100_29,VPWR,li1,21.6200,285.6000,1.799988
FILLER_0_100_27,VPWR,li1,18.1700,285.6000,1.799988
FILLER_0_100_15,VPWR,li1,15.1800,285.6000,1.799988
FILLER_0_100_3,VPWR,li1,9.6600,285.6000,1.799988
FILLER_0_99_617,VPWR,li1,291.1800,280.1600,1.800000
FILLER_0_99_615,VPWR,li1,288.6500,280.1600,1.800000
FILLER_0_99_609,VPWR,li1,287.0400,280.1600,1.800000
FILLER_0_99_597,VPWR,li1,282.9000,280.1600,1.800000
FILLER_0_99_585,VPWR,li1,277.3800,280.1600,1.800000
FILLER_0_99_573,VPWR,li1,271.8600,280.1600,1.800000
FILLER_0_99_561,VPWR,li1,266.3400,280.1600,1.800000
FILLER_0_99_559,VPWR,li1,262.8900,280.1600,1.800000
FILLER_0_99_553,VPWR,li1,261.2800,280.1600,1.800000
FILLER_0_99_541,VPWR,li1,257.1400,280.1600,1.800000
FILLER_0_99_529,VPWR,li1,251.6200,280.1600,1.800000
FILLER_0_99_517,VPWR,li1,246.1000,280.1600,1.800000
FILLER_0_99_505,VPWR,li1,240.5800,280.1600,1.800000
FILLER_0_99_503,VPWR,li1,237.1300,280.1600,1.800000
FILLER_0_99_497,VPWR,li1,235.5200,280.1600,1.800000
FILLER_0_99_485,VPWR,li1,231.3800,280.1600,1.800000
FILLER_0_99_473,VPWR,li1,225.8600,280.1600,1.800000
FILLER_0_99_461,VPWR,li1,220.3400,280.1600,1.800000
FILLER_0_99_449,VPWR,li1,214.8200,280.1600,1.800000
FILLER_0_99_447,VPWR,li1,211.3700,280.1600,1.800000
FILLER_0_99_441,VPWR,li1,209.7600,280.1600,1.800000
FILLER_0_99_429,VPWR,li1,205.6200,280.1600,1.800000
FILLER_0_99_417,VPWR,li1,200.1000,280.1600,1.800000
FILLER_0_99_405,VPWR,li1,194.5800,280.1600,1.800000
FILLER_0_99_393,VPWR,li1,189.0600,280.1600,1.800000
FILLER_0_99_391,VPWR,li1,185.6100,280.1600,1.800000
FILLER_0_99_385,VPWR,li1,184.0000,280.1600,1.800000
FILLER_0_99_373,VPWR,li1,179.8600,280.1600,1.800000
FILLER_0_99_361,VPWR,li1,174.3400,280.1600,1.800000
FILLER_0_99_349,VPWR,li1,168.8200,280.1600,1.800000
FILLER_0_99_337,VPWR,li1,163.3000,280.1600,1.800000
FILLER_0_99_335,VPWR,li1,159.8500,280.1600,1.800000
FILLER_0_99_329,VPWR,li1,158.2400,280.1600,1.800000
FILLER_0_99_317,VPWR,li1,154.1000,280.1600,1.800000
FILLER_0_99_305,VPWR,li1,148.5800,280.1600,1.800000
FILLER_0_99_293,VPWR,li1,143.0600,280.1600,1.800000
FILLER_0_99_281,VPWR,li1,137.5400,280.1600,1.800000
FILLER_0_99_279,VPWR,li1,134.0900,280.1600,1.800000
FILLER_0_99_273,VPWR,li1,132.4800,280.1600,1.800000
FILLER_0_99_261,VPWR,li1,128.3400,280.1600,1.800000
FILLER_0_99_249,VPWR,li1,122.8200,280.1600,1.800000
FILLER_0_99_237,VPWR,li1,117.3000,280.1600,1.800000
FILLER_0_99_225,VPWR,li1,111.7800,280.1600,1.800000
FILLER_0_99_223,VPWR,li1,108.3300,280.1600,1.800000
FILLER_0_99_217,VPWR,li1,106.7200,280.1600,1.800000
FILLER_0_99_205,VPWR,li1,102.5800,280.1600,1.800000
FILLER_0_99_193,VPWR,li1,97.0600,280.1600,1.800000
FILLER_0_99_181,VPWR,li1,91.5400,280.1600,1.800000
FILLER_0_99_169,VPWR,li1,86.0200,280.1600,1.800000
FILLER_0_99_167,VPWR,li1,82.5700,280.1600,1.800000
