net,length_um
clknet_0_clk,796.78µm
net776,710.815µm
net61,592.34µm
net773,585.48µm
net635,574.585µm
net768,568.51µm
net798,554.66µm
net952,550.61µm
net790,531.13µm
net881,520.34µm
net834,519.71µm
net771,508.69µm
net799,502.07µm
net832,491.255µm
net79,490.23µm
net894,488.82µm
net827,468.84µm
net779,463.39µm
net795,462.19µm
net680,452.86µm
net904,442.86µm
net816,439.66µm
net772,426.84µm
net889,424.43µm
net890,423.86µm
net357,417.695µm
net769,413.31µm
net770,410.325µm
net867,409.4µm
net828,409.125µm
net902,408.97µm
net852,408.725µm
net878,400.82µm
net62,396.78µm
net892,392.47µm
net775,388.945µm
net800,384.46µm
net903,383.775µm
net820,378.93µm
net873,371.72µm
net781,359.15µm
net419,357.145µm
net788,355.315µm
net9,352.175µm
net88,351.37µm
net797,343.01µm
net837,340.62µm
net231,336.81µm
net794,335.05µm
net774,332.785µm
net836,325.35µm
net82,322.59µm
net855,322.59µm
net895,322.565µm
net777,322.31µm
net2,321.53µm
net893,321.355µm
net833,321.11µm
net75,320.42µm
net819,315.66µm
net18,315.235µm
net350,312.77µm
net886,310.405µm
net885,309.82µm
net807,309.245µm
net909,306.57µm
net204,306.42µm
net830,305.25µm
net823,303.85µm
net73,301.575µm
net815,300.3µm
net652,299.3µm
net71,297.83µm
net778,295.58µm
net239,294.58µm
net801,293.405µm
net780,292.54µm
net785,292.42µm
net191,290.35µm
net70,288.93µm
net808,286.17µm
net218,283.52µm
net802,283.49µm
net822,283.08µm
net207,281.74µm
net217,277.28µm
net118,276.87µm
net925,275.08µm
net882,274.02µm
net186,272.185µm
net34,267.17µm
net205,266.74µm
net784,266.27µm
net135,263.44µm
net809,262.46µm
net907,260.89µm
net81,260.11µm
net201,259.23µm
net812,258.55µm
net853,258.15µm
net105,257.1µm
net66,255.52µm
net225,253.94µm
net826,253.58µm
net142,253.01µm
net810,253µm
net806,252.725µm
net289,252.43µm
net821,250.4µm
net901,249.245µm
net316,248.29µm
net418,246.02µm
net69,245.05µm
net195,244.445µm
net244,244.205µm
net805,243.33µm
net422,243.195µm
net332,240.535µm
net787,240.16µm
net796,239.93µm
net782,239.88µm
net452,239.165µm
net216,238.7µm
net792,234.71µm
net813,234.14µm
net896,232.96µm
net517,232.62µm
clk,229.61µm
net337,229.005µm
net206,227.845µm
net3,227.37µm
clknet_4_1_0_clk,227.22µm
net647,226.24µm
net558,223.62µm
net227,223.175µm
net864,221.88µm
net106,221.83µm
net196,220.83µm
net144,220.585µm
net211,218.97µm
net924,217.55µm
net189,217.3µm
net824,216.66µm
net851,216.26µm
net825,215.42µm
net330,215.22µm
net413,213.14µm
net783,212.325µm
net72,211.46µm
net425,209.9µm
net327,208.985µm
net237,208.68µm
net804,207.66µm
net317,204.605µm
net113,204.4µm
net700,199.335µm
net690,197.13µm
net90,196.835µm
net803,195.935µm
net531,195.88µm
net733,195.44µm
net818,195.26µm
net104,194.385µm
net433,193.625µm
clknet_4_4_0_clk,192.04µm
net381,191.97µm
net955,191.94µm
net1,190.65µm
net305,189.865µm
net856,189.32µm
net726,189.005µm
net887,187.63µm
net857,186.6µm
net340,186.3µm
net364,186.13µm
net905,186.08µm
net255,185.9µm
net115,185.04µm
clknet_4_13_0_clk,184.785µm
net238,182.66µm
net898,182.335µm
clknet_4_14_0_clk,181.845µm
net6,180.86µm
net883,179.83µm
net354,179.29µm
net78,179.06µm
net114,177.34µm
net328,175.4µm
net102,175.215µm
net80,175.11µm
net303,175.02µm
net891,174.22µm
net728,174.02µm
net451,172.64µm
clknet_1_0__leaf_net682,172.18µm
net199,172.03µm
net791,171.62µm
net198,171.22µm
net811,170.845µm
net875,170.795µm
clknet_4_12_0_clk,170.79µm
net910,170.04µm
net262,169.98µm
net793,169.195µm
net900,169.14µm
net544,168.71µm
net314,167.9µm
net112,167.62µm
net411,167.24µm
net888,166.655µm
net5,166.63µm
net74,164.83µm
net297,163.08µm
net459,159.74µm
net184,159.235µm
net536,158.85µm
net334,157.135µm
net276,157.1µm
net551,157.005µm
net668,156.17µm
net786,154.78µm
net111,154.04µm
net99,153.42µm
clknet_4_3_0_clk,152.9µm
net215,152.62µm
net234,152.2µm
net835,152.18µm
net4,152.065µm
net32,151.98µm
net438,151.77µm
net879,151.56µm
net866,151.31µm
net308,150.81µm
net669,149.94µm
net241,149.225µm
net86,148.915µm
net356,147.76µm
net348,145.86µm
net505,145.39µm
net100,145.14µm
net285,144.96µm
net682,144.86µm
net331,144.55µm
net846,142.685µm
net137,142.54µm
net288,142.47µm
net19,142.35µm
clknet_4_8_0_clk,141.415µm
net540,140.295µm
net646,140.28µm
net906,139.585µm
net953,139.55µm
net423,139.34µm
net884,139.18µm
net546,138.86µm
net679,138.5µm
net533,138.25µm
net860,137.38µm
net282,136.625µm
clknet_4_5_0_clk,134.775µm
net831,134.205µm
net24,133.91µm
net11,133.78µm
net232,132.045µm
net908,131.74µm
net844,131.7µm
net566,131.53µm
clknet_4_11_0_clk,131.36µm
net163,130.77µm
net692,130.66µm
net863,130.46µm
net109,130.44µm
net847,129.765µm
net347,129.335µm
net116,128.93µm
net435,128µm
net445,127.82µm
net899,127.445µm
net446,127.01µm
net384,125.77µm
net444,124.97µm
net956,124.665µm
net98,123.88µm
net274,122.565µm
net528,122.54µm
net263,122.28µm
net120,122.14µm
net734,122.01µm
net68,120.76µm
