Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.799804
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.799804
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.799804
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.799804
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.799804
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.799804
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.799804
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.799804
FILLER_0_101_545,VPWR,li1,256.6800,285.6000,1.799804
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.799805
FILLER_0_101_524,VPWR,li1,248.4000,285.6000,1.799807
FILLER_0_101_513,VPWR,li1,241.7300,285.6000,1.799810
FILLER_0_101_501,VPWR,li1,236.6700,285.6000,1.799813
FILLER_0_101_489,VPWR,li1,233.2200,285.6000,1.799817
FILLER_0_101_477,VPWR,li1,227.7000,285.6000,1.799822
FILLER_0_101_475,VPWR,li1,224.2500,285.6000,1.799827
FILLER_0_101_471,VPWR,li1,223.1000,285.6000,1.799827
FILLER_0_101_459,VPWR,li1,219.4200,285.6000,1.799830
FILLER_0_101_447,VPWR,li1,211.3700,285.6000,1.799839
FILLER_0_101_419,VPWR,li1,198.4900,285.6000,1.799864
FILLER_0_101_389,VPWR,li1,184.6900,285.6000,1.799910
FILLER_0_101_375,VPWR,li1,178.9400,285.6000,1.799938
FILLER_0_101_363,VPWR,li1,172.7300,285.6000,1.799944
FILLER_0_101_359,VPWR,li1,171.5800,285.6000,1.799944
FILLER_0_101_349,VPWR,li1,166.5200,285.6000,1.799941
FILLER_0_101_337,VPWR,li1,163.3000,285.6000,1.799940
FILLER_0_101_333,VPWR,li1,159.3900,285.6000,1.799938
FILLER_0_101_321,VPWR,li1,155.9400,285.6000,1.799937
FILLER_0_101_309,VPWR,li1,150.4200,285.6000,1.799934
FILLER_0_101_307,VPWR,li1,146.9700,285.6000,1.799932
FILLER_0_101_301,VPWR,li1,145.3600,285.6000,1.799932
FILLER_0_101_289,VPWR,li1,141.2200,285.6000,1.799930
FILLER_0_101_277,VPWR,li1,133.6300,285.6000,1.799929
FILLER_0_101_265,VPWR,li1,130.1800,285.6000,1.799930
FILLER_0_101_253,VPWR,li1,124.6600,285.6000,1.799932
FILLER_0_101_240,VPWR,li1,118.6800,285.6000,1.799935
FILLER_0_101_231,VPWR,li1,112.0100,285.6000,1.799938
FILLER_0_101_225,VPWR,li1,110.4000,285.6000,1.799940
FILLER_0_101_221,VPWR,li1,107.8700,285.6000,1.799941
FILLER_0_101_209,VPWR,li1,104.4200,285.6000,1.799943
FILLER_0_101_197,VPWR,li1,98.9000,285.6000,1.799946
FILLER_0_101_193,VPWR,li1,94.9900,285.6000,1.799950
FILLER_0_101_181,VPWR,li1,91.5400,285.6000,1.799951
FILLER_0_101_169,VPWR,li1,86.0200,285.6000,1.799954
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.799957
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.799959
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.799962
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799965
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799967
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799970
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799973
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799975
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799978
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799981
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799983
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799986
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.799988
FILLER_0_101_41,VPWR,li1,27.1400,285.6000,1.799990
FILLER_0_101_29,VPWR,li1,21.6200,285.6000,1.799994
FILLER_0_101_27,VPWR,li1,18.1700,285.6000,1.799994
