net,length_um
clknet_0_clk,430.94µm
net964,425.16µm
net1002,342.58µm
clk,282.19µm
net400,275.69µm
net110,268.86µm
clknet_4_15_0_clk,244.115µm
net92,241.26µm
net958,237.115µm
clknet_4_14_0_clk,232.24µm
net278,218.58µm
clknet_4_4_0_clk,213.57µm
net967,203.74µm
net963,201.76µm
net371,190.12µm
net902,189.29µm
net184,186.61µm
clknet_4_7_0_clk,184.81µm
net369,177.68µm
clknet_4_13_0_clk,177.14µm
clknet_4_12_0_clk,162.12µm
clknet_4_6_0_clk,160.96µm
clknet_4_5_0_clk,160.65µm
net206,159.42µm
net58,152.51µm
net949,146.82µm
net920,146.23µm
net34,146.14µm
net966,141.26µm
net881,139.52µm
net170,137.25µm
clknet_4_3_0_clk,135.92µm
clknet_4_2_0_clk,135.28µm
net55,134.7µm
net923,133.895µm
net118,132.62µm
net78,130.68µm
clknet_4_8_0_clk,129.065µm
net580,127.4µm
net383,126.585µm
net2,123.73µm
net938,123.46µm
clknet_4_0_0_clk,122.26µm
net959,120.84µm
clknet_4_9_0_clk,119.48µm
net87,119.19µm
net929,117.155µm
net790,117.08µm
net312,114.92µm
clknet_4_1_0_clk,113.91µm
net59,113.495µm
net952,107.91µm
net223,107.73µm
net894,105.86µm
net904,105.62µm
net586,104.98µm
net224,102.41µm
net945,102.3µm
net960,101.56µm
net927,101.205µm
net14,100.255µm
net637,100.125µm
net167,99.69µm
net28,99.16µm
net394,99.02µm
net399,98.805µm
net209,98.78µm
net547,98.63µm
net169,98.5µm
net234,97.745µm
net909,97.2µm
net851,96.8µm
clknet_4_11_0_clk,95.66µm
net948,94.5µm
net1005,94µm
net953,93.965µm
net900,93.54µm
net919,93.54µm
net930,92.9µm
net911,92.18µm
net208,92.14µm
net410,92.01µm
net459,90.49µm
net542,89.96µm
net120,89.88µm
net333,89.45µm
net207,89.285µm
net908,89.1µm
net962,88.055µm
net612,87.92µm
net281,85.33µm
net467,85.27µm
net302,84.58µm
net387,84.5µm
net939,83.62µm
net15,83.57µm
net140,82.725µm
net897,82.34µm
net955,80.78µm
net943,80.69µm
net36,80.2µm
net551,80.095µm
net81,80.04µm
net309,79.8µm
net1004,79.745µm
net799,79.71µm
net910,79.52µm
net893,79.36µm
net861,79.28µm
net896,79.025µm
net261,78.93µm
net256,78.74µm
net230,78.02µm
net164,77.445µm
net935,77.41µm
net957,77.22µm
net610,77.14µm
net719,76.88µm
net591,76.84µm
net311,76.745µm
net956,76.455µm
net795,76.38µm
clknet_1_1__leaf_net756,76.2µm
net421,76.1µm
net240,75.57µm
net863,75.14µm
net951,75.035µm
net327,74.24µm
net0,74.02µm
net615,73.855µm
net905,73.48µm
net306,73.45µm
net864,73.43µm
net168,73.16µm
net105,72.84µm
net257,71.18µm
net282,70.87µm
net564,70.32µm
net404,70.18µm
net109,70.03µm
net377,69.86µm
net858,69.52µm
net396,69.06µm
net27,69µm
net961,68.945µm
net803,68.92µm
net391,68.76µm
clknet_1_1__leaf_net349,68.57µm
net631,68.42µm
net173,68.34µm
net480,68.28µm
net62,68.23µm
net481,68.14µm
clknet_1_0__leaf_net356,68.13µm
net97,68.125µm
net308,67.57µm
net329,67.44µm
net924,67.42µm
net614,67.1µm
net527,67.085µm
net846,66.14µm
net368,66µm
net401,65.89µm
net563,65.6µm
net8,65.51µm
net607,65.34µm
net123,64.36µm
net154,64.24µm
net650,64.02µm
net211,63.815µm
net152,63.72µm
net50,63.1µm
net870,62.94µm
net448,62.81µm
net899,62.675µm
net378,62.44µm
net214,62.24µm
net521,62.24µm
net545,62.18µm
net710,62.125µm
net270,61.76µm
net484,61.705µm
net129,61.5µm
net847,61.285µm
net121,60.33µm
net33,60.32µm
net291,60.3µm
net947,60.235µm
net132,59.75µm
net737,59.7µm
net269,59.64µm
net139,59.56µm
net747,59.28µm
net407,58.64µm
net449,58.48µm
net906,58.22µm
net84,58.2µm
net569,58.19µm
net18,58.055µm
net707,57.44µm
net252,57.32µm
net490,57.045µm
net705,57.02µm
net933,57.005µm
net7,56.79µm
net124,56.49µm
net143,56.48µm
net17,55.96µm
net553,55.76µm
net765,55.38µm
net786,55.31µm
net932,55.26µm
clknet_0_net914,55.06µm
net746,54.52µm
net372,54.35µm
net854,54.34µm
net928,54.315µm
net346,54.2µm
net538,54.12µm
net122,53.61µm
net736,53.58µm
net260,53.41µm
net457,53.09µm
net384,52.92µm
clknet_1_0__leaf_net357,52.78µm
net60,52.62µm
net754,52.24µm
net954,52.1µm
net636,51.985µm
net808,51.9µm
net4,51.86µm
net429,51.85µm
net186,51.67µm
net708,51.24µm
net805,50.9µm
net922,50.86µm
clknet_1_1__leaf_net348,50.73µm
net26,50.72µm
net74,50.36µm
net622,50.32µm
clknet_0_net600,50.3µm
