Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.800000
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.800000
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.800000
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.800000
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.800000
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.800000
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.800000
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.800000
FILLER_0_101_545,VPWR,li1,258.9800,285.6000,1.800000
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.800000
FILLER_0_101_529,VPWR,li1,249.5500,285.6000,1.800000
FILLER_0_101_517,VPWR,li1,246.1000,285.6000,1.800000
FILLER_0_101_505,VPWR,li1,240.5800,285.6000,1.800000
FILLER_0_101_501,VPWR,li1,236.6700,285.6000,1.800000
FILLER_0_101_489,VPWR,li1,233.2200,285.6000,1.800000
FILLER_0_101_477,VPWR,li1,227.7000,285.6000,1.800000
FILLER_0_101_473,VPWR,li1,223.7900,285.6000,1.800000
FILLER_0_101_461,VPWR,li1,220.3400,285.6000,1.800000
FILLER_0_101_449,VPWR,li1,214.8200,285.6000,1.800000
FILLER_0_101_445,VPWR,li1,210.9100,285.6000,1.800000
FILLER_0_101_433,VPWR,li1,207.4600,285.6000,1.800000
FILLER_0_101_421,VPWR,li1,201.9400,285.6000,1.800000
FILLER_0_101_417,VPWR,li1,198.0300,285.6000,1.800000
FILLER_0_101_405,VPWR,li1,194.5800,285.6000,1.800000
FILLER_0_101_393,VPWR,li1,189.0600,285.6000,1.800000
FILLER_0_101_389,VPWR,li1,185.1500,285.6000,1.800000
FILLER_0_101_377,VPWR,li1,181.7000,285.6000,1.800000
FILLER_0_101_365,VPWR,li1,176.1800,285.6000,1.800000
FILLER_0_101_361,VPWR,li1,172.2700,285.6000,1.800000
FILLER_0_101_349,VPWR,li1,168.8200,285.6000,1.800000
FILLER_0_101_337,VPWR,li1,163.3000,285.6000,1.800000
FILLER_0_101_333,VPWR,li1,159.3900,285.6000,1.800000
FILLER_0_101_321,VPWR,li1,155.9400,285.6000,1.800000
FILLER_0_101_309,VPWR,li1,150.4200,285.6000,1.800000
FILLER_0_101_305,VPWR,li1,146.5100,285.6000,1.800000
FILLER_0_101_293,VPWR,li1,143.0600,285.6000,1.800000
FILLER_0_101_281,VPWR,li1,137.5400,285.6000,1.800000
FILLER_0_101_277,VPWR,li1,133.6300,285.6000,1.800000
FILLER_0_101_265,VPWR,li1,130.1800,285.6000,1.800000
FILLER_0_101_253,VPWR,li1,124.6600,285.6000,1.800000
FILLER_0_101_249,VPWR,li1,120.7500,285.6000,1.800000
FILLER_0_101_237,VPWR,li1,117.3000,285.6000,1.800000
FILLER_0_101_225,VPWR,li1,111.7800,285.6000,1.800000
FILLER_0_101_221,VPWR,li1,107.8700,285.6000,1.800000
FILLER_0_101_209,VPWR,li1,104.4200,285.6000,1.800000
FILLER_0_101_197,VPWR,li1,98.9000,285.6000,1.800000
FILLER_0_101_193,VPWR,li1,94.9900,285.6000,1.800000
FILLER_0_101_181,VPWR,li1,91.5400,285.6000,1.800000
FILLER_0_101_169,VPWR,li1,86.0200,285.6000,1.800000
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.800000
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.800000
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.800000
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.800000
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.800000
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.800000
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.800000
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.800000
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.800000
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.800000
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.800000
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.800000
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.800000
