Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VGND,li1,291.1800,288.3200,2729603995881.833008
FILLER_0_101_613,VGND,li1,288.1900,288.3200,2729603995882.012207
FILLER_0_101_601,VGND,li1,284.7400,288.3200,2729603995882.414551
FILLER_0_101_589,VGND,li1,279.2200,288.3200,2729603995883.151855
FILLER_0_101_585,VGND,li1,275.3100,288.3200,2729603995883.554688
FILLER_0_101_573,VGND,li1,271.8600,288.3200,2729603995882.655762
FILLER_0_101_561,VGND,li1,266.3400,288.3200,2729603995882.117188
FILLER_0_101_557,VGND,li1,262.4300,288.3200,2729603995882.207031
FILLER_0_101_545,VGND,li1,258.9800,288.3200,2729603995881.937500
FILLER_0_101_533,VGND,li1,253.4600,288.3200,2729603995881.099121
FILLER_0_101_529,VGND,li1,249.5500,288.3200,2729603995880.410156
FILLER_0_101_517,VGND,li1,246.1000,288.3200,2729603995879.780762
FILLER_0_101_505,VGND,li1,240.5800,288.3200,2729603995879.092285
FILLER_0_101_500,VGND,li1,236.4400,288.3200,2729603995877.714844
FILLER_0_101_449,VGND,li1,212.5200,288.3200,2185079468139.819580
FILLER_0_101_433,VGND,li1,207.4600,288.3200,2008565076425.814697
FILLER_0_101_421,VGND,li1,201.9400,288.3200,1726142049683.437744
FILLER_0_101_417,VGND,li1,198.0300,288.3200,1526092405740.906006
FILLER_0_101_405,VGND,li1,194.5800,288.3200,1349578014026.414062
FILLER_0_101_393,VGND,li1,189.0600,288.3200,1067154987283.279175
FILLER_0_101_391,VGND,li1,185.6100,288.3200,808267212768.632080
FILLER_0_101_385,VGND,li1,184.0000,288.3200,808267212768.632080
FILLER_0_101_363,VGND,li1,172.7300,288.3200,490603442512.036377
FILLER_0_101_357,VGND,li1,170.4300,288.3200,485514098475.420898
FILLER_0_101_349,VGND,li1,167.9000,288.3200,477604217881.008423
FILLER_0_101_337,VGND,li1,163.3000,288.3200,463222616800.232910
FILLER_0_101_333,VGND,li1,159.3900,288.3200,450998255881.566040
FILLER_0_101_321,VGND,li1,155.9400,288.3200,440212055070.918152
FILLER_0_101_309,VGND,li1,150.4200,288.3200,421515973665.847595
FILLER_0_101_305,VGND,li1,146.5100,288.3200,410729772855.265076
FILLER_0_101_293,VGND,li1,143.0600,288.3200,399943572044.661499
FILLER_0_101_281,VGND,li1,137.5400,288.3200,382685650747.727905
FILLER_0_101_277,VGND,li1,133.6300,288.3200,370461289829.063354
FILLER_0_101_265,VGND,li1,130.1800,288.3200,359675089018.427185
FILLER_0_101_253,VGND,li1,124.6600,288.3200,342417167721.425537
FILLER_0_101_249,VGND,li1,120.7500,288.3200,330192806802.713196
FILLER_0_101_237,VGND,li1,117.3000,288.3200,319406605992.067566
FILLER_0_101_225,VGND,li1,111.7800,288.3200,302148684695.071655
FILLER_0_101_223,VGND,li1,108.3300,288.3200,286328923506.131958
FILLER_0_101_217,VGND,li1,106.7200,288.3200,286328923506.131958
