net,length_um
clknet_0_clk,564.72µm
clk,229.99µm
clknet_4_7_0_clk,215.7µm
clknet_4_0_0_clk,211.41µm
clknet_4_4_0_clk,190.5µm
clknet_4_13_0_clk,189.565µm
clknet_4_14_0_clk,182.62µm
clknet_4_1_0_clk,175.96µm
clknet_4_6_0_clk,169.58µm
clknet_4_9_0_clk,163.5µm
clknet_4_12_0_clk,157.29µm
net907,152.565µm
net883,139.09µm
net217,133.4µm
net133,132.8µm
clknet_4_3_0_clk,129.79µm
clknet_1_0__leaf_net877,128.14µm
clknet_4_10_0_clk,126.97µm
clknet_4_2_0_clk,120.62µm
net846,119.4µm
clknet_4_11_0_clk,116.94µm
net922,116.7µm
net321,115.195µm
net921,113.875µm
net927,113.365µm
net873,112.62µm
net17,112.14µm
net898,109.03µm
clknet_1_1__leaf_net345,109.02µm
net422,108.545µm
net466,108.315µm
net157,105.52µm
net460,104.625µm
clknet_4_8_0_clk,102.81µm
net573,102.66µm
net16,102.44µm
net912,100.515µm
net864,100.25µm
net566,100.245µm
net589,100.08µm
net896,97.34µm
net551,97.105µm
net145,96.93µm
net848,96.225µm
net847,95.97µm
clknet_4_15_0_clk,94.31µm
net926,92.94µm
net76,92.165µm
net909,91.945µm
net136,90.555µm
net565,90.3µm
net423,90.25µm
net659,88.8µm
clknet_4_5_0_clk,87.1µm
net516,86.93µm
net424,86.8µm
net212,86.165µm
net417,84.56µm
net637,84.28µm
net507,83.52µm
net158,82.96µm
clknet_1_0__leaf_net870,82.67µm
net284,82.305µm
net918,82.03µm
net924,82.03µm
net878,81.96µm
net234,81.32µm
net867,81.2µm
net591,80.925µm
net570,80.53µm
net255,80.52µm
net114,80.445µm
net517,80.37µm
net875,80.14µm
net210,79.8µm
net915,79µm
clknet_1_1__leaf_net866,78.62µm
clknet_1_1__leaf_net203,78.4µm
net419,78.06µm
net49,77.845µm
clknet_0_net863,77.32µm
net141,76.6µm
net416,76.115µm
net328,75.96µm
net288,75.89µm
net664,75.35µm
net923,74.94µm
clknet_1_1__leaf_net193,74.83µm
net326,74.735µm
net850,74.62µm
net125,74.18µm
net546,73.42µm
net506,72.9µm
net635,72.86µm
net916,72.54µm
clknet_1_1__leaf_net877,71.88µm
net287,71.5µm
net1,71.45µm
net893,71.15µm
net30,71.06µm
net165,70.4µm
net919,70.26µm
net329,70.18µm
net14,69.86µm
net906,69.76µm
net600,69.56µm
net230,69.55µm
net849,69.5µm
net67,69.36µm
net487,69.12µm
net253,69.105µm
net352,69.1µm
clknet_0_net348,68.86µm
net394,68.34µm
net91,68.035µm
net257,67.72µm
net256,67.405µm
net373,66.78µm
net374,66.34µm
net901,66.3µm
net228,66.055µm
net894,65.66µm
net306,65.105µm
clknet_1_1__leaf_net73,64.77µm
net903,64.38µm
net862,64.2µm
net275,64.145µm
clknet_1_0__leaf_net203,64.11µm
net889,64.01µm
net640,63.845µm
net645,63.7µm
clknet_1_0__leaf_net869,63.66µm
net278,63.39µm
net859,63.34µm
net376,63.32µm
net463,63.255µm
net431,63.03µm
clknet_0_net877,62.92µm
net663,62.46µm
clknet_1_1__leaf_net184,62.22µm
clknet_1_1__leaf_net347,61.715µm
clknet_1_1__leaf_net67,61.66µm
net77,61.5µm
net21,61.24µm
net618,61.12µm
clknet_1_0__leaf_net348,60.76µm
net15,60.425µm
net737,60.36µm
clknet_1_1__leaf_net205,60.24µm
net844,60.2µm
clknet_1_0__leaf_net64,59.78µm
net190,59.22µm
net203,58.98µm
net442,58.92µm
net214,58.64µm
net231,58.16µm
net170,58.09µm
net283,57.9µm
net97,57.8µm
net858,57.78µm
clknet_1_1__leaf_net65,57.38µm
net736,57.24µm
net552,57.04µm
net265,56.915µm
clknet_1_1__leaf_net348,56.78µm
clknet_0_net199,56.66µm
net280,56.6µm
net925,56.58µm
net64,56.56µm
net483,56.54µm
net149,56.46µm
net117,56.42µm
net226,56.12µm
net384,55.975µm
net514,55.94µm
net884,55.845µm
net784,55.73µm
net302,55.36µm
net492,55.22µm
net641,55.06µm
net5,54.7µm
net167,54.41µm
net78,54.22µm
net381,53.92µm
net93,53.9µm
net90,53.68µm
net3,53.58µm
net564,53.57µm
net461,53.48µm
net773,53.34µm
clknet_1_1__leaf_net872,53.18µm
net274,53.11µm
net95,52.94µm
net613,52.87µm
clknet_0_net188,52.42µm
clknet_1_0__leaf_net347,52.41µm
net124,52.38µm
net904,52.22µm
net102,52.175µm
net738,52.12µm
clknet_1_0__leaf_net190,51.62µm
net611,51.175µm
net680,50.98µm
net571,50.78µm
net868,50.64µm
clknet_1_1__leaf_net863,50.52µm
net103,50.345µm
net2,50.17µm
net66,49.7µm
clknet_1_1__leaf_net66,49.7µm
net121,49.67µm
net651,49.62µm
net264,49.44µm
net259,49.3µm
clknet_1_0__leaf_net66,48.99µm
net29,48.85µm
net348,48.65µm
net410,48.295µm
net408,48.245µm
net356,48.19µm
net415,48.07µm
net648,48.02µm
clknet_0_net184,47.84µm
net101,47.76µm
net447,47.74µm
net509,47.585µm
net549,47.52µm
net142,47.26µm
net515,47.2µm
net433,47.16µm
net362,47µm
net665,46.92µm
net323,46.755µm
clknet_0_net870,46.72µm
net513,46.54µm
clknet_0_net185,46.42µm
clknet_1_1__leaf_net346,46.27µm
net63,45.84µm
net462,45.82µm
net592,45.765µm
net601,45.45µm
clknet_1_1__leaf_net69,45.45µm
net505,45.38µm
net385,45.365µm
net396,45.34µm
net590,45.3µm
clknet_1_0__leaf_net205,45.28µm
net699,45.26µm
net444,44.86µm
net372,44.82µm
net624,44.48µm
clknet_1_0__leaf_net65,44.26µm
net45,44.18µm
net435,44.02µm
net605,44µm
clknet_1_1__leaf_net64,43.96µm
net876,43.76µm
net669,43.64µm
clknet_1_0__leaf_net67,43.49µm
net668,43.48µm
net604,43.32µm
clknet_1_1__leaf_net739,43.135µm
net734,43.06µm
net920,42.98µm
net186,42.94µm
net928,42.94µm
net335,42.82µm
net151,42.74µm
net185,42.56µm
clknet_1_1__leaf_net870,42.23µm
net126,42.18µm
net307,42.13µm
net534,42.09µm
clknet_1_1__leaf_net187,41.9µm
net622,41.88µm
clknet_1_0__leaf_net73,41.84µm
net625,41.82µm
net65,41.8µm
net350,41.78µm
net192,41.66µm
net139,41.445µm
clknet_0_net198,41.32µm
net577,41.27µm
net305,41.2µm
net40,41.18µm
clknet_0_net347,41.04µm
net263,40.72µm
net895,40.64µm
net254,40.57µm
net567,40.54µm
net178,40.505µm
clknet_1_0__leaf_net865,40.44µm
clknet_1_0__leaf_net186,40.4µm
clknet_0_net195,40.12µm
net246,40.08µm
clknet_1_1__leaf_net221,40.02µm
net360,39.98µm
net52,39.945µm
net658,39.9µm
net200,39.81µm
clknet_1_1__leaf_net740,39.8µm
net544,39.785µm
net490,39.74µm
clknet_0_net206,39.66µm
clknet_0_net192,39.62µm
clknet_0_net63,39.62µm
net315,39.55µm
clknet_1_1__leaf_net61,39.54µm
net108,39.44µm
net623,39.36µm
net728,39.33µm
net595,39.18µm
clknet_1_1__leaf_net876,38.86µm
net175,38.85µm
net75,38.82µm
clknet_0_net72,38.78µm
net51,38.66µm
net72,38.12µm
clknet_1_0__leaf_net61,38.1µm
net112,37.96µm
net174,37.94µm
net484,37.91µm
net201,37.885µm
net644,37.805µm
net913,37.76µm
net194,37.68µm
net627,37.6µm
net750,37.48µm
net338,37.465µm
clknet_0_net85,37.36µm
net652,37.24µm
clknet_0_net182,37.24µm
net723,37.14µm
net626,37.03µm
net298,36.97µm
net98,36.93µm
net104,36.92µm
clknet_1_0__leaf_net193,36.73µm
net127,36.72µm
clknet_1_0__leaf_net327,36.64µm
net334,36.52µm
clknet_1_1__leaf_net192,36.3µm
net599,36.285µm
net443,36.28µm
net238,36.19µm
net402,36.05µm
net339,36.03µm
net363,36.02µm
clknet_1_1__leaf_net186,35.88µm
net495,35.84µm
net235,35.81µm
clknet_0_net740,35.78µm
clknet_0_net181,35.76µm
net543,35.64µm
net299,35.54µm
net662,35.44µm
clknet_0_net61,35.34µm
net115,35.2µm
net411,35.16µm
clknet_1_0__leaf_net72,35.145µm
net553,35.12µm
net472,34.98µm
clknet_0_net187,34.84µm
net450,34.7µm
net46,34.63µm
net325,34.61µm
net193,34.6µm
net785,34.46µm
clknet_1_1__leaf_net63,34.43µm
net597,34.425µm
clknet_1_1__leaf_net204,34.36µm
net853,34.3µm
net861,34.265µm
clknet_0_net186,34.2µm
clknet_1_0__leaf_net213,34.1µm
net73,34.02µm
net602,33.94µm
net615,33.885µm
clknet_1_1__leaf_net188,33.82µm
net277,33.78µm
clknet_0_net221,33.76µm
net526,33.74µm
clknet_1_1__leaf_net185,33.66µm
net224,33.5µm
net649,33.495µm
net300,33.48µm
net845,33.33µm
clknet_1_1__leaf_net62,33.28µm
net173,33.26µm
clknet_0_net183,33.26µm
clknet_0_net204,33.22µm
net569,33.2µm
net538,33.1µm
net612,33.1µm
net742,33µm
net85,32.98µm
net240,32.975µm
clknet_0_net208,32.84µm
clknet_0_net792,32.64µm
clknet_0_net332,32.64µm
net557,32.58µm
net616,32.54µm
net188,32.5µm
net531,32.46µm
net660,32.41µm
net262,32.38µm
net767,32.36µm
net617,32.32µm
clknet_1_0__leaf_net184,32.3µm
net619,32.265µm
net473,32.245µm
net621,32.24µm
net870,32.2µm
net160,32.16µm
net12,32.04µm
net50,31.925µm
net586,31.86µm
net239,31.8µm
net489,31.68µm
net279,31.58µm
clknet_1_0__leaf_net188,31.58µm
clknet_1_0__leaf_net872,31.57µm
clknet_0_net193,31.34µm
clknet_0_net757,31.28µm
clknet_0_net189,30.86µm
clknet_1_0__leaf_net723,30.84µm
net69,30.82µm
clknet_1_0__leaf_net183,30.82µm
clknet_1_0__leaf_net63,30.72µm
clknet_0_net86,30.64µm
clknet_0_net869,30.62µm
net251,30.54µm
clknet_0_net70,30.54µm
net364,30.36µm
net44,30.28µm
net324,30.14µm
clknet_0_net866,30.1µm
net342,30.06µm
net163,30.04µm
net409,30.02µm
net882,30.02µm
net911,30µm
net176,29.925µm
clknet_1_0__leaf_net866,29.9µm
net636,29.64µm
net202,29.62µm
net399,29.56µm
net420,29.56µm
net717,29.5µm
net917,29.5µm
net448,29.47µm
net550,29.42µm
net333,29.38µm
clknet_1_0__leaf_net194,29.29µm
clknet_1_1__leaf_net71,29.24µm
clknet_0_net345,29.22µm
clknet_0_net872,29.04µm
net276,28.95µm
net606,28.91µm
net86,28.8µm
net273,28.78µm
net499,28.72µm
net252,28.66µm
clknet_0_net62,28.56µm
clknet_1_1__leaf_net758,28.42µm
net576,28.245µm
clknet_1_0__leaf_net345,28.24µm
clknet_1_1__leaf_net70,28.22µm
net511,28.16µm
net720,28.12µm
clknet_1_1__leaf_net208,28.11µm
clknet_0_net213,28.06µm
net344,27.8µm
net159,27.74µm
clknet_1_0__leaf_net182,27.74µm
net407,27.67µm
clknet_0_net67,27.64µm
net542,27.58µm
net503,27.48µm
clknet_0_net69,27.44µm
net336,27.33µm
net914,27.28µm
clknet_1_1__leaf_net194,27.27µm
clknet_1_0__leaf_net62,27.18µm
net725,27.08µm
net899,27.06µm
net357,26.94µm
clknet_1_0__leaf_net207,26.9µm
net331,26.83µm
net113,26.8µm
clknet_0_net191,26.68µm
net181,26.58µm
net930,26.56µm
clknet_1_1__leaf_net207,26.51µm
net432,26.5µm
clknet_0_net341,26.4µm
net877,26.38µm
net879,26.3µm
clknet_1_0__leaf_net332,26.25µm
net129,26.22µm
net19,26.2µm
clknet_1_0__leaf_net221,26.1µm
clknet_0_net66,26.08µm
clknet_0_net207,25.86µm
clknet_1_0__leaf_net181,25.78µm
net322,25.705µm
net718,25.7µm
net560,25.67µm
net341,25.64µm
net349,25.6µm
clknet_1_1__leaf_net68,25.54µm
net533,25.5µm
net366,25.325µm
net369,25.28µm
net782,25.24µm
net4,25.045µm
net107,24.84µm
net555,24.83µm
net134,24.72µm
clknet_0_net194,24.72µm
clknet_0_net865,24.66µm
net243,24.625µm
net18,24.46µm
net296,24.425µm
net199,24.36µm
net434,24.34µm
net852,24.26µm
