Metric,Value
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,14
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00857958197593689
power__switching__total,0.00460637453943491
power__leakage__total,3.143501103863855e-08
power__total,0.013185988180339336
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-7.422796
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-2.734499
timing__hold__ws__corner:nom_tt_025C_1v80,-6.181619
timing__setup__ws__corner:nom_tt_025C_1v80,-10.306134
timing__hold__tns__corner:nom_tt_025C_1v80,-36.552906
timing__setup__tns__corner:nom_tt_025C_1v80,-1106.224609
timing__hold__wns__corner:nom_tt_025C_1v80,-6.181619
timing__setup__wns__corner:nom_tt_025C_1v80,-10.306134
timing__hold_vio__count__corner:nom_tt_025C_1v80,11
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,-4.338193
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,3
timing__setup_vio__count__corner:nom_tt_025C_1v80,326
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,-10.306134
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,259
design__max_slew_violation__count__corner:nom_ss_100C_1v60,7
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,14
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-14.157865
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-5.151133
timing__hold__ws__corner:nom_ss_100C_1v60,-11.64169
timing__setup__ws__corner:nom_ss_100C_1v60,-16.167837
timing__hold__tns__corner:nom_ss_100C_1v60,-71.75238
timing__setup__tns__corner:nom_ss_100C_1v60,-2900.798096
timing__hold__wns__corner:nom_ss_100C_1v60,-11.64169
timing__setup__wns__corner:nom_ss_100C_1v60,-16.167837
timing__hold_vio__count__corner:nom_ss_100C_1v60,11
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,-8.204495
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,3
timing__setup_vio__count__corner:nom_ss_100C_1v60,346
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-16.003746
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,247
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,14
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-4.789438
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-1.791193
timing__hold__ws__corner:nom_ff_n40C_1v95,-4.041962
timing__setup__ws__corner:nom_ff_n40C_1v95,-8.096202
timing__hold__tns__corner:nom_ff_n40C_1v95,-22.81424
timing__setup__tns__corner:nom_ff_n40C_1v95,-559.673096
timing__hold__wns__corner:nom_ff_n40C_1v95,-4.041962
timing__setup__wns__corner:nom_ff_n40C_1v95,-8.096202
timing__hold_vio__count__corner:nom_ff_n40C_1v95,13
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,-2.855407
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,4
timing__setup_vio__count__corner:nom_ff_n40C_1v95,268
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,-8.096202
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,224
design__max_slew_violation__count,8
design__max_fanout_violation__count,14
design__max_cap_violation__count,2
clock__skew__worst_hold,-4.749688
clock__skew__worst_setup,-5.201393
timing__hold__ws,-11.702683
timing__setup__ws,-16.265244
timing__hold__tns,-72.069778
timing__setup__tns,-2926.106201
timing__hold__wns,-11.702683
timing__setup__wns,-16.265244
timing__hold_vio__count,105
