net,length_um
clknet_0_clk,783.02µm
net763,618.1µm
net935,616.07µm
net771,565.75µm
net829,556.71µm
net807,521.45µm
net929,510.94µm
net924,505.895µm
net920,497.54µm
net0,467.6µm
net815,463.445µm
net855,456.2µm
net821,455.22µm
net932,452.98µm
net933,435.63µm
net780,414.65µm
net784,413.16µm
net776,402.12µm
net788,401.24µm
net833,389.46µm
net774,387.02µm
net931,376.255µm
net863,370.5µm
net896,361.17µm
net21,346µm
net805,333.43µm
net934,328.705µm
net133,317.58µm
net971,302.42µm
net219,298.32µm
net91,297.56µm
net820,296.225µm
net845,294.645µm
net195,290.195µm
net915,284.15µm
net927,277.71µm
net877,274.56µm
net444,272.635µm
net128,271.66µm
net812,269.495µm
clknet_1_0__leaf_net824,269.33µm
net260,260.795µm
net16,259.76µm
net64,252.85µm
net775,249.745µm
net773,246.32µm
net892,244.155µm
clknet_1_0__leaf_net849,241.735µm
net401,239.3µm
net696,239.26µm
net311,237.3µm
net762,235.46µm
net324,230.165µm
net865,229.9µm
net890,228.76µm
clknet_1_1__leaf_net230,226.755µm
net402,226.67µm
clknet_1_0__leaf_net230,226.1µm
net467,225.88µm
net822,223.25µm
net348,222.84µm
net878,222.84µm
net62,222.05µm
clk,221.86µm
net185,220.89µm
net816,220.85µm
net298,219.765µm
clknet_1_1__leaf_net843,218.745µm
net296,218.39µm
net347,217.385µm
net904,216.87µm
net709,216.2µm
net835,214.73µm
net813,213.8µm
net823,213.76µm
net854,213.475µm
clknet_4_10_0_clk,212.76µm
net23,210.95µm
net851,208.22µm
net17,207.93µm
net533,206.14µm
net273,203.645µm
net767,203.6µm
net549,203.4µm
net819,201.03µm
net26,199.215µm
net210,198.67µm
clknet_4_9_0_clk,197.395µm
net912,196.74µm
net31,196.415µm
net804,196.28µm
net203,195.235µm
clknet_1_1__leaf_net849,195.22µm
net327,194.69µm
clknet_4_6_0_clk,194.66µm
net182,193.26µm
net910,192.535µm
net694,192.11µm
net926,190.04µm
clknet_1_1__leaf_net824,185.83µm
net69,185.74µm
net930,185.07µm
net309,181.26µm
net77,180.39µm
net918,180.2µm
net785,176.36µm
net866,175.8µm
clknet_4_1_0_clk,174.12µm
net770,173.5µm
net201,171.67µm
net711,171.48µm
net675,171.38µm
net39,169.855µm
clknet_1_1__leaf_net832,169.5µm
net840,169.38µm
clknet_4_0_0_clk,169.37µm
net206,168.17µm
net154,167.62µm
net79,167.38µm
net846,167.18µm
net227,166.48µm
net530,165.445µm
net814,165.1µm
net870,164.855µm
net670,164.64µm
net315,164.475µm
net191,163.89µm
clknet_4_4_0_clk,163.54µm
net917,162.48µm
net75,162.26µm
net593,161.98µm
clknet_1_0__leaf_net427,161.415µm
clknet_1_0__leaf_net832,160.23µm
net769,159.76µm
net736,159.67µm
net799,158.88µm
net919,158.76µm
net679,157.96µm
net148,157.55µm
net852,157.14µm
net841,154.08µm
net110,153.045µm
net1025,151.11µm
net343,150.42µm
net160,150.025µm
net118,149.965µm
net362,149.35µm
clknet_4_2_0_clk,149.305µm
net85,148.56µm
net889,143.81µm
net1027,143.09µm
net292,142.035µm
net100,141.63µm
net972,140.05µm
net899,139.83µm
clknet_4_7_0_clk,139.82µm
net787,139.315µm
net733,139.17µm
net137,138.08µm
net66,137.81µm
net81,137.48µm
net699,136.36µm
net186,136.06µm
net695,135.5µm
net257,134.93µm
net824,134.3µm
net45,133.44µm
net847,132.92µm
net479,132.9µm
net857,132.28µm
net707,131.63µm
net843,131.46µm
net1032,130.02µm
net408,129.66µm
net226,128.74µm
net830,128.68µm
