Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VGND,li1,291.1800,288.3200,0.000059
FILLER_0_101_613,VGND,li1,288.1900,288.3200,0.000059
FILLER_0_101_601,VGND,li1,284.7400,288.3200,0.000059
FILLER_0_101_589,VGND,li1,279.2200,288.3200,0.000059
FILLER_0_101_585,VGND,li1,275.3100,288.3200,0.000059
FILLER_0_101_573,VGND,li1,271.8600,288.3200,0.000059
FILLER_0_101_561,VGND,li1,266.3400,288.3200,0.000059
FILLER_0_101_557,VGND,li1,262.4300,288.3200,0.000059
FILLER_0_101_545,VGND,li1,258.9800,288.3200,0.000059
FILLER_0_101_533,VGND,li1,253.4600,288.3200,0.000059
FILLER_0_101_529,VGND,li1,249.5500,288.3200,0.000059
FILLER_0_101_517,VGND,li1,246.1000,288.3200,0.000059
FILLER_0_101_505,VGND,li1,240.5800,288.3200,0.000059
FILLER_0_101_501,VGND,li1,236.6700,288.3200,0.000059
FILLER_0_101_489,VGND,li1,233.2200,288.3200,0.000059
FILLER_0_101_477,VGND,li1,227.7000,288.3200,0.000059
FILLER_0_101_475,VGND,li1,224.2500,288.3200,0.000059
FILLER_0_101_471,VGND,li1,223.1000,288.3200,0.000059
FILLER_0_101_461,VGND,li1,218.0400,288.3200,0.000058
FILLER_0_101_449,VGND,li1,214.8200,288.3200,0.000057
FILLER_0_101_436,VGND,li1,208.8400,288.3200,0.000055
FILLER_0_101_427,VGND,li1,202.1700,288.3200,0.000052
FILLER_0_101_421,VGND,li1,200.5600,288.3200,0.000052
FILLER_0_101_419,VGND,li1,198.4900,288.3200,0.000052
FILLER_0_101_415,VGND,li1,197.3400,288.3200,0.000050
FILLER_0_101_401,VGND,li1,190.2100,288.3200,0.000046
FILLER_0_101_391,VGND,li1,185.6100,288.3200,0.000037
FILLER_0_101_387,VGND,li1,184.4600,288.3200,0.000037
FILLER_0_101_377,VGND,li1,179.4000,288.3200,0.000024
FILLER_0_101_365,VGND,li1,176.1800,288.3200,0.000023
FILLER_0_101_361,VGND,li1,172.2700,288.3200,0.000023
FILLER_0_101_349,VGND,li1,168.8200,288.3200,0.000022
FILLER_0_101_337,VGND,li1,163.3000,288.3200,0.000021
FILLER_0_101_333,VGND,li1,159.3900,288.3200,0.000021
FILLER_0_101_321,VGND,li1,155.9400,288.3200,0.000020
FILLER_0_101_309,VGND,li1,150.4200,288.3200,0.000019
FILLER_0_101_305,VGND,li1,146.5100,288.3200,0.000019
FILLER_0_101_293,VGND,li1,143.0600,288.3200,0.000018
FILLER_0_101_281,VGND,li1,137.5400,288.3200,0.000018
FILLER_0_101_277,VGND,li1,133.6300,288.3200,0.000017
FILLER_0_101_265,VGND,li1,130.1800,288.3200,0.000017
FILLER_0_101_253,VGND,li1,124.6600,288.3200,0.000016
FILLER_0_101_249,VGND,li1,120.7500,288.3200,0.000015
FILLER_0_101_237,VGND,li1,117.3000,288.3200,0.000015
FILLER_0_101_225,VGND,li1,111.7800,288.3200,0.000014
FILLER_0_101_221,VGND,li1,107.8700,288.3200,0.000013
FILLER_0_101_209,VGND,li1,104.4200,288.3200,0.000013
FILLER_0_101_197,VGND,li1,98.9000,288.3200,0.000012
FILLER_0_101_193,VGND,li1,94.9900,288.3200,0.000012
FILLER_0_101_181,VGND,li1,91.5400,288.3200,0.000011
FILLER_0_101_169,VGND,li1,86.0200,288.3200,0.000010
FILLER_0_101_165,VGND,li1,82.1100,288.3200,0.000010
FILLER_0_101_153,VGND,li1,78.6600,288.3200,0.000009
FILLER_0_101_141,VGND,li1,73.1400,288.3200,0.000008
FILLER_0_101_137,VGND,li1,69.2300,288.3200,0.000008
FILLER_0_101_125,VGND,li1,65.7800,288.3200,0.000007
FILLER_0_101_113,VGND,li1,60.2600,288.3200,0.000007
FILLER_0_101_109,VGND,li1,56.3500,288.3200,0.000006
FILLER_0_101_97,VGND,li1,52.9000,288.3200,0.000005
FILLER_0_101_85,VGND,li1,47.3800,288.3200,0.000005
FILLER_0_101_81,VGND,li1,43.4700,288.3200,0.000004
FILLER_0_101_69,VGND,li1,40.0200,288.3200,0.000004
FILLER_0_101_57,VGND,li1,34.5000,288.3200,0.000003
FILLER_0_101_53,VGND,li1,30.5900,288.3200,0.000002
FILLER_0_101_41,VGND,li1,27.1400,288.3200,0.000002
FILLER_0_101_29,VGND,li1,21.6200,288.3200,0.000001
FILLER_0_101_27,VGND,li1,18.1700,288.3200,0.000001
FILLER_0_101_15,VGND,li1,15.1800,288.3200,0.000001
FILLER_0_101_3,VGND,li1,9.6600,288.3200,0.000001
FILLER_0_100_613,VGND,li1,290.2600,282.8800,0.000000
FILLER_0_100_601,VGND,li1,284.7400,282.8800,0.000000
FILLER_0_100_589,VGND,li1,279.2200,282.8800,0.000000
FILLER_0_100_587,VGND,li1,275.7700,282.8800,0.000000
FILLER_0_100_581,VGND,li1,274.1600,282.8800,0.000000
FILLER_0_100_569,VGND,li1,270.0200,282.8800,0.000000
FILLER_0_100_557,VGND,li1,264.5000,282.8800,0.000000
FILLER_0_100_545,VGND,li1,258.9800,282.8800,0.000000
FILLER_0_100_533,VGND,li1,253.4600,282.8800,0.000000
FILLER_0_100_531,VGND,li1,250.0100,282.8800,0.000000
FILLER_0_100_525,VGND,li1,248.4000,282.8800,0.000000
FILLER_0_100_513,VGND,li1,244.2600,282.8800,0.000000
FILLER_0_100_501,VGND,li1,238.7400,282.8800,0.000000
FILLER_0_100_489,VGND,li1,233.2200,282.8800,0.000000
FILLER_0_100_477,VGND,li1,227.7000,282.8800,0.000000
FILLER_0_100_475,VGND,li1,224.2500,282.8800,0.000000
FILLER_0_100_469,VGND,li1,222.6400,282.8800,0.000000
FILLER_0_100_457,VGND,li1,218.5000,282.8800,0.000000
FILLER_0_100_445,VGND,li1,212.9800,282.8800,0.000000
FILLER_0_100_433,VGND,li1,207.4600,282.8800,0.000000
FILLER_0_100_421,VGND,li1,201.9400,282.8800,0.000000
FILLER_0_100_414,VGND,li1,197.3400,282.8800,0.000000
FILLER_0_100_402,VGND,li1,193.2000,282.8800,0.000000
FILLER_0_100_397,VGND,li1,188.8300,282.8800,0.000000
FILLER_0_100_389,VGND,li1,186.3000,282.8800,0.000000
FILLER_0_100_377,VGND,li1,181.7000,282.8800,0.000000
FILLER_0_100_365,VGND,li1,176.1800,282.8800,0.000000
FILLER_0_100_363,VGND,li1,172.7300,282.8800,0.000000
FILLER_0_100_357,VGND,li1,171.1200,282.8800,0.000000
FILLER_0_100_345,VGND,li1,166.9800,282.8800,0.000000
FILLER_0_100_333,VGND,li1,161.4600,282.8800,0.000000
FILLER_0_100_321,VGND,li1,155.9400,282.8800,0.000000
FILLER_0_100_309,VGND,li1,150.4200,282.8800,0.000000
FILLER_0_100_307,VGND,li1,146.9700,282.8800,0.000000
FILLER_0_100_301,VGND,li1,145.3600,282.8800,0.000000
FILLER_0_100_289,VGND,li1,141.2200,282.8800,0.000000
FILLER_0_100_277,VGND,li1,135.7000,282.8800,0.000000
FILLER_0_100_265,VGND,li1,130.1800,282.8800,0.000000
FILLER_0_100_253,VGND,li1,124.6600,282.8800,0.000000
FILLER_0_100_251,VGND,li1,121.2100,282.8800,0.000000
FILLER_0_100_245,VGND,li1,119.6000,282.8800,0.000000
FILLER_0_100_233,VGND,li1,115.4600,282.8800,0.000000
FILLER_0_100_221,VGND,li1,109.9400,282.8800,0.000000
FILLER_0_100_209,VGND,li1,104.4200,282.8800,0.000000
FILLER_0_100_197,VGND,li1,98.9000,282.8800,0.000000
FILLER_0_100_195,VGND,li1,95.4500,282.8800,0.000000
FILLER_0_100_189,VGND,li1,93.8400,282.8800,0.000000
FILLER_0_100_177,VGND,li1,89.7000,282.8800,0.000000
FILLER_0_100_165,VGND,li1,84.1800,282.8800,0.000000
FILLER_0_100_153,VGND,li1,78.6600,282.8800,0.000000
FILLER_0_100_141,VGND,li1,73.1400,282.8800,0.000000
FILLER_0_100_139,VGND,li1,69.6900,282.8800,0.000000
FILLER_0_100_133,VGND,li1,68.0800,282.8800,0.000000
FILLER_0_100_121,VGND,li1,63.9400,282.8800,0.000000
FILLER_0_100_109,VGND,li1,58.4200,282.8800,0.000000
FILLER_0_100_97,VGND,li1,52.9000,282.8800,0.000000
FILLER_0_100_85,VGND,li1,47.3800,282.8800,0.000000
FILLER_0_100_83,VGND,li1,43.9300,282.8800,0.000000
FILLER_0_100_77,VGND,li1,42.3200,282.8800,0.000000
FILLER_0_100_65,VGND,li1,38.1800,282.8800,0.000000
FILLER_0_100_53,VGND,li1,32.6600,282.8800,0.000000
