net,length_um
clknet_0_clk,812.04µm
net1040,681.45µm
net1033,571.68µm
net1011,545.97µm
net1047,495.095µm
net1038,482.83µm
net72,480.54µm
net953,468.24µm
net925,460.26µm
net1048,452.795µm
net1041,450.38µm
net958,430.92µm
net1043,429.985µm
net900,367.71µm
net1024,366µm
net84,356.61µm
net1045,354.275µm
net1021,349.51µm
net121,344.83µm
net225,325.205µm
net120,321.8µm
net792,315.77µm
net1046,308.54µm
net915,308.2µm
net377,308.145µm
net970,302.55µm
net907,300.64µm
net910,299.635µm
net903,299.42µm
net413,296.8µm
net1016,295.355µm
net73,294.805µm
clknet_1_1__leaf_net204,292.685µm
net839,292.33µm
net233,289.04µm
net1037,287.95µm
net1042,285.155µm
net376,283.955µm
clk,282.78µm
net414,279.82µm
net937,279.59µm
net196,276.14µm
net437,273.565µm
net208,273.56µm
net962,267.45µm
net1032,266µm
net1015,265.455µm
clknet_2_2__leaf_net310,264.16µm
net972,264.085µm
clknet_1_0__leaf_net963,258.2µm
clknet_1_0__leaf_net204,256.44µm
net935,252.725µm
clknet_4_3_0_clk,251.935µm
net227,247.47µm
net872,246.41µm
net966,246.235µm
net939,245.43µm
clknet_2_3__leaf_net310,245.1µm
net974,244.86µm
clknet_4_2_0_clk,244.635µm
net189,242.66µm
clknet_4_15_0_clk,240.37µm
net1031,238.91µm
net23,231.885µm
net1029,229.095µm
net330,225.44µm
net16,223.29µm
net332,222.68µm
net832,222.42µm
clknet_0_net310,221.86µm
net865,219.55µm
net193,219µm
net188,218.28µm
net996,217.89µm
net838,217.65µm
net110,217.26µm
net1028,214.925µm
net306,213.17µm
net320,212.97µm
net782,212.53µm
net1030,208.585µm
net67,208.5µm
net131,208.19µm
clknet_4_8_0_clk,207.135µm
net142,204.76µm
net187,204.18µm
net775,203.68µm
net135,203.615µm
net215,201.77µm
net463,198.85µm
net909,196.65µm
net856,196.45µm
clknet_4_7_0_clk,196.12µm
net325,195.98µm
net1002,195.885µm
net29,195.165µm
clknet_4_13_0_clk,194.46µm
net212,194.075µm
net858,193.63µm
net8,193.59µm
net784,192.75µm
net122,191.6µm
net85,190.4µm
clknet_1_1__leaf_net1000,189.83µm
clknet_2_0__leaf_net310,189.575µm
clknet_4_12_0_clk,189.1µm
net75,188.525µm
net475,188.43µm
net973,188.37µm
clknet_1_1__leaf_net963,186.95µm
clknet_4_9_0_clk,186.44µm
net86,185.45µm
net987,185.07µm
net19,184.475µm
clknet_2_1__leaf_net310,184.185µm
clknet_4_10_0_clk,182.595µm
net432,178.86µm
clknet_4_14_0_clk,178.4µm
net756,175.4µm
net216,175.38µm
clknet_1_1__leaf_net829,174.04µm
net929,173.83µm
net801,173.75µm
net474,173.2µm
net211,173.185µm
net597,172.64µm
clknet_1_0__leaf_net455,172µm
net31,171.135µm
net71,171.125µm
net266,171.02µm
clknet_4_5_0_clk,170.57µm
net960,170.14µm
net1026,163.255µm
net1036,161.83µm
net846,161.25µm
net866,161.18µm
clknet_4_0_0_clk,158.76µm
net42,158.275µm
net831,156.52µm
net919,156µm
net860,155.92µm
net282,155.45µm
net416,154.425µm
clknet_1_1__leaf_net455,154.37µm
net230,154.32µm
net940,152.64µm
net118,152.46µm
net791,152.28µm
net829,151.88µm
net947,151.58µm
net197,148.36µm
net218,148.34µm
net812,148.06µm
net5,147.96µm
net955,147.12µm
net665,145.92µm
net18,145.53µm
clknet_4_6_0_clk,145.21µm
net530,144.7µm
net917,144.58µm
net108,143.66µm
net154,142.29µm
net300,141.475µm
net653,141.38µm
net100,140.78µm
net844,140.44µm
net924,140.04µm
clknet_1_1__leaf_net965,139.78µm
net690,139.36µm
net933,137.9µm
net926,137.22µm
net462,137.17µm
clknet_1_0__leaf_net965,136.27µm
net877,135.96µm
net104,135.67µm
net977,135.27µm
net1069,134.705µm
net14,134.36µm
net148,133.2µm
net46,133.1µm
net800,131.75µm
net427,131.6µm
net391,131.14µm
net843,131.05µm
net205,130.72µm
clknet_1_0__leaf_net303,130.32µm
net826,129.35µm
net228,129.26µm
net1005,128.92µm
net956,128.85µm
net943,128.54µm
clknet_4_4_0_clk,128µm
net825,127.82µm
net293,127.76µm
net392,127.04µm
net814,126.82µm
net319,126.69µm
net967,125.9µm
clknet_1_0__leaf_net829,125.72µm
net837,125.14µm
net101,124.26µm
net776,124.1µm
net911,123.9µm
net819,123.88µm
net342,123.86µm
clknet_4_11_0_clk,122.52µm
net969,122.3µm
net292,121.39µm
net740,119.74µm
net906,119.73µm
net751,118.865µm
clknet_1_0__leaf_net848,117.9µm
net957,117.84µm
net766,117.82µm
net701,116.86µm
net335,116.62µm
net256,116.04µm
net678,116µm
clknet_1_1__leaf_net848,115.51µm
net886,114.8µm
net240,114.46µm
net526,113.18µm
net600,113µm
net807,112.43µm
net64,112.34µm
net1065,112.08µm
net204,111.6µm
clknet_1_0__leaf_net470,110.35µm
clknet_1_0__leaf_net981,110.3µm
net878,109.7µm
net845,109.34µm
net74,109.26µm
net158,109.22µm
net931,109.1µm
net119,108.44µm
net184,107.54µm
clknet_1_0__leaf_net155,107.5µm
clknet_0_net963,106.24µm
net772,105.7µm
net138,105.45µm
net76,104.685µm
clknet_0_net829,104.14µm
net879,103.84µm
net542,103.69µm
net849,103.62µm
net257,103.54µm
net351,103.375µm
net323,103.11µm
net999,102.42µm
clknet_0_net204,101.36µm
net696,100.96µm
clknet_1_0__leaf_net488,99.96µm
