Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VGND,li1,291.1800,288.3200,0.000601
FILLER_0_101_613,VGND,li1,288.1900,288.3200,0.000601
FILLER_0_101_601,VGND,li1,284.7400,288.3200,0.000601
FILLER_0_101_589,VGND,li1,279.2200,288.3200,0.000601
FILLER_0_101_585,VGND,li1,275.3100,288.3200,0.000601
FILLER_0_101_573,VGND,li1,271.8600,288.3200,0.000601
FILLER_0_101_561,VGND,li1,266.3400,288.3200,0.000601
FILLER_0_101_557,VGND,li1,262.4300,288.3200,0.000601
FILLER_0_101_545,VGND,li1,258.9800,288.3200,0.000601
FILLER_0_101_533,VGND,li1,253.4600,288.3200,0.000601
FILLER_0_101_531,VGND,li1,250.0100,288.3200,0.000601
FILLER_0_101_503,VGND,li1,237.1300,288.3200,0.000573
FILLER_0_101_499,VGND,li1,235.9800,288.3200,0.000573
FILLER_0_101_492,VGND,li1,232.0700,288.3200,0.000548
FILLER_0_101_485,VGND,li1,228.8500,288.3200,0.000526
FILLER_0_101_471,VGND,li1,222.4100,288.3200,0.000486
FILLER_0_101_457,VGND,li1,215.9700,288.3200,0.000438
FILLER_0_101_429,VGND,li1,203.0900,288.3200,0.000325
FILLER_0_101_415,VGND,li1,196.6500,288.3200,0.000283
FILLER_0_101_408,VGND,li1,193.4300,288.3200,0.000240
FILLER_0_101_391,VGND,li1,185.6100,288.3200,0.000182
FILLER_0_101_378,VGND,li1,179.6300,288.3200,0.000126
FILLER_0_101_374,VGND,li1,178.4800,288.3200,0.000102
FILLER_0_101_363,VGND,li1,172.7300,288.3200,0.000105
FILLER_0_101_359,VGND,li1,170.8900,288.3200,0.000106
FILLER_0_101_349,VGND,li1,166.5200,288.3200,0.000108
FILLER_0_101_342,VGND,li1,163.3000,288.3200,0.000109
FILLER_0_101_335,VGND,li1,159.8500,288.3200,0.000111
FILLER_0_101_328,VGND,li1,156.8600,288.3200,0.000111
FILLER_0_101_321,VGND,li1,153.6400,288.3200,0.000112
FILLER_0_101_314,VGND,li1,150.4200,288.3200,0.000113
FILLER_0_101_307,VGND,li1,146.9700,288.3200,0.000113
FILLER_0_101_300,VGND,li1,143.9800,288.3200,0.000113
FILLER_0_101_293,VGND,li1,140.7600,288.3200,0.000113
FILLER_0_101_275,VGND,li1,132.2500,288.3200,0.000113
FILLER_0_101_259,VGND,li1,124.8900,288.3200,0.000110
FILLER_0_101_241,VGND,li1,116.6100,288.3200,0.000105
FILLER_0_101_237,VGND,li1,115.4600,288.3200,0.000105
FILLER_0_101_225,VGND,li1,111.7800,288.3200,0.000103
FILLER_0_101_223,VGND,li1,108.3300,288.3200,0.000100
FILLER_0_101_216,VGND,li1,105.3400,288.3200,0.000098
FILLER_0_101_210,VGND,li1,102.3500,288.3200,0.000096
FILLER_0_101_202,VGND,li1,100.2800,288.3200,0.000095
FILLER_0_101_195,VGND,li1,95.4500,288.3200,0.000090
FILLER_0_101_189,VGND,li1,92.6900,288.3200,0.000089
FILLER_0_101_181,VGND,li1,89.2400,288.3200,0.000085
FILLER_0_101_161,VGND,li1,79.8100,288.3200,0.000076
FILLER_0_101_153,VGND,li1,77.7400,288.3200,0.000074
FILLER_0_101_141,VGND,li1,73.1400,288.3200,0.000068
FILLER_0_101_137,VGND,li1,69.2300,288.3200,0.000064
