Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.799371
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.799371
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.799371
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.799371
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.799371
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.799371
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.799371
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.799371
FILLER_0_101_545,VPWR,li1,258.9800,285.6000,1.799371
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.799371
FILLER_0_101_531,VPWR,li1,250.0100,285.6000,1.799371
FILLER_0_101_503,VPWR,li1,237.1300,285.6000,1.799398
FILLER_0_101_499,VPWR,li1,235.9800,285.6000,1.799398
FILLER_0_101_492,VPWR,li1,232.0700,285.6000,1.799416
FILLER_0_101_485,VPWR,li1,228.8500,285.6000,1.799442
FILLER_0_101_471,VPWR,li1,222.4100,285.6000,1.799482
FILLER_0_101_457,VPWR,li1,215.9700,285.6000,1.799530
FILLER_0_101_429,VPWR,li1,203.0900,285.6000,1.799646
FILLER_0_101_415,VPWR,li1,196.6500,285.6000,1.799696
FILLER_0_101_408,VPWR,li1,193.4300,285.6000,1.799734
FILLER_0_101_391,VPWR,li1,185.6100,285.6000,1.799793
FILLER_0_101_378,VPWR,li1,179.6300,285.6000,1.799851
FILLER_0_101_374,VPWR,li1,178.4800,285.6000,1.799875
FILLER_0_101_363,VPWR,li1,172.7300,285.6000,1.799894
FILLER_0_101_359,VPWR,li1,170.8900,285.6000,1.799893
FILLER_0_101_349,VPWR,li1,166.5200,285.6000,1.799890
FILLER_0_101_342,VPWR,li1,163.3000,285.6000,1.799889
FILLER_0_101_335,VPWR,li1,159.8500,285.6000,1.799888
FILLER_0_101_328,VPWR,li1,156.8600,285.6000,1.799887
FILLER_0_101_321,VPWR,li1,153.6400,285.6000,1.799886
FILLER_0_101_314,VPWR,li1,150.4200,285.6000,1.799886
FILLER_0_101_307,VPWR,li1,146.9700,285.6000,1.799885
FILLER_0_101_300,VPWR,li1,143.9800,285.6000,1.799885
FILLER_0_101_293,VPWR,li1,140.7600,285.6000,1.799885
FILLER_0_101_275,VPWR,li1,132.2500,285.6000,1.799886
FILLER_0_101_259,VPWR,li1,124.8900,285.6000,1.799888
FILLER_0_101_241,VPWR,li1,116.6100,285.6000,1.799892
FILLER_0_101_237,VPWR,li1,115.4600,285.6000,1.799892
FILLER_0_101_225,VPWR,li1,111.7800,285.6000,1.799895
FILLER_0_101_223,VPWR,li1,108.3300,285.6000,1.799897
FILLER_0_101_216,VPWR,li1,105.3400,285.6000,1.799900
FILLER_0_101_210,VPWR,li1,102.3500,285.6000,1.799901
FILLER_0_101_202,VPWR,li1,100.2800,285.6000,1.799904
FILLER_0_101_195,VPWR,li1,95.4500,285.6000,1.799907
FILLER_0_101_189,VPWR,li1,92.6900,285.6000,1.799909
FILLER_0_101_181,VPWR,li1,89.2400,285.6000,1.799913
FILLER_0_101_161,VPWR,li1,79.8100,285.6000,1.799921
FILLER_0_101_153,VPWR,li1,77.7400,285.6000,1.799923
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.799929
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799935
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799937
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799944
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799948
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799952
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799959
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799964
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799967
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799973
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.799978
FILLER_0_101_41,VPWR,li1,27.1400,285.6000,1.799982
FILLER_0_101_29,VPWR,li1,21.6200,285.6000,1.799988
FILLER_0_101_27,VPWR,li1,18.1700,285.6000,1.799988
FILLER_0_101_15,VPWR,li1,15.1800,285.6000,1.799988
FILLER_0_101_3,VPWR,li1,9.6600,285.6000,1.799988
FILLER_0_100_613,VPWR,li1,290.2600,285.6000,1.799371
FILLER_0_100_601,VPWR,li1,284.7400,285.6000,1.799371
FILLER_0_100_589,VPWR,li1,279.2200,285.6000,1.799371
FILLER_0_100_587,VPWR,li1,275.7700,285.6000,1.799371
FILLER_0_100_581,VPWR,li1,274.1600,285.6000,1.799371
FILLER_0_100_569,VPWR,li1,270.0200,285.6000,1.799371
FILLER_0_100_557,VPWR,li1,264.5000,285.6000,1.799371
FILLER_0_100_545,VPWR,li1,258.9800,285.6000,1.799371
FILLER_0_100_533,VPWR,li1,253.4600,285.6000,1.799371
FILLER_0_100_531,VPWR,li1,250.0100,285.6000,1.799371
FILLER_0_100_519,VPWR,li1,247.0200,285.6000,1.799371
FILLER_0_100_516,VPWR,li1,243.1100,285.6000,1.799374
FILLER_0_100_507,VPWR,li1,239.4300,285.6000,1.799383
FILLER_0_100_499,VPWR,li1,236.9000,285.6000,1.799398
FILLER_0_100_487,VPWR,li1,232.3000,285.6000,1.799416
FILLER_0_100_481,VPWR,li1,227.7000,285.6000,1.799442
FILLER_0_100_473,VPWR,li1,223.7900,285.6000,1.799467
FILLER_0_100_469,VPWR,li1,221.7200,285.6000,1.799482
FILLER_0_100_461,VPWR,li1,219.4200,285.6000,1.799498
FILLER_0_100_444,VPWR,li1,210.4500,285.6000,1.799578
FILLER_0_100_432,VPWR,li1,207.0000,285.6000,1.799610
FILLER_0_100_427,VPWR,li1,202.1700,285.6000,1.799646
FILLER_0_100_423,VPWR,li1,201.0200,285.6000,1.799663
FILLER_0_100_416,VPWR,li1,197.8000,285.6000,1.799679
FILLER_0_100_410,VPWR,li1,195.0400,285.6000,1.799717
FILLER_0_100_407,VPWR,li1,192.9700,285.6000,1.799734
FILLER_0_100_401,VPWR,li1,191.3600,285.6000,1.799752
FILLER_0_100_389,VPWR,li1,187.2200,285.6000,1.799793
FILLER_0_100_377,VPWR,li1,181.7000,285.6000,1.799831
FILLER_0_100_365,VPWR,li1,176.1800,285.6000,1.799896
FILLER_0_100_363,VPWR,li1,172.7300,285.6000,1.799894
FILLER_0_100_357,VPWR,li1,171.1200,285.6000,1.799893
FILLER_0_100_345,VPWR,li1,166.9800,285.6000,1.799890
FILLER_0_100_333,VPWR,li1,161.4600,285.6000,1.799889
FILLER_0_100_321,VPWR,li1,155.9400,285.6000,1.799887
FILLER_0_100_309,VPWR,li1,150.4200,285.6000,1.799886
FILLER_0_100_300,VPWR,li1,145.3600,285.6000,1.799885
FILLER_0_100_288,VPWR,li1,140.7600,285.6000,1.799885
FILLER_0_100_276,VPWR,li1,135.2400,285.6000,1.799885
FILLER_0_100_272,VPWR,li1,131.1000,285.6000,1.799886
FILLER_0_100_269,VPWR,li1,129.4900,285.6000,1.799886
FILLER_0_100_261,VPWR,li1,127.4200,285.6000,1.799886
FILLER_0_100_257,VPWR,li1,124.2000,285.6000,1.799888
FILLER_0_100_251,VPWR,li1,121.2100,285.6000,1.799889
FILLER_0_100_245,VPWR,li1,119.6000,285.6000,1.799890
FILLER_0_100_233,VPWR,li1,115.4600,285.6000,1.799892
FILLER_0_100_221,VPWR,li1,109.9400,285.6000,1.799897
FILLER_0_100_209,VPWR,li1,104.4200,285.6000,1.799900
FILLER_0_100_197,VPWR,li1,98.9000,285.6000,1.799904
FILLER_0_100_195,VPWR,li1,95.4500,285.6000,1.799907
FILLER_0_100_189,VPWR,li1,93.8400,285.6000,1.799909
FILLER_0_100_177,VPWR,li1,89.7000,285.6000,1.799913
FILLER_0_100_165,VPWR,li1,84.1800,285.6000,1.799917
FILLER_0_100_153,VPWR,li1,78.6600,285.6000,1.799923
FILLER_0_100_141,VPWR,li1,73.1400,285.6000,1.799929
FILLER_0_100_139,VPWR,li1,69.6900,285.6000,1.799935
FILLER_0_100_133,VPWR,li1,68.0800,285.6000,1.799935
FILLER_0_100_121,VPWR,li1,63.9400,285.6000,1.799939
FILLER_0_100_109,VPWR,li1,58.4200,285.6000,1.799946
FILLER_0_100_97,VPWR,li1,52.9000,285.6000,1.799952
FILLER_0_100_85,VPWR,li1,47.3800,285.6000,1.799959
