net,length_um
clknet_0_clk,823.58µm
net979,653.59µm
net978,648.525µm
net1041,579.51µm
net1038,552.755µm
net974,478.83µm
net1062,438.28µm
net1057,412.325µm
net958,407.53µm
net1020,389.655µm
net1022,383.59µm
net1058,370.575µm
net980,356.18µm
net941,349.4µm
net1056,349.08µm
net972,337.15µm
net1035,337.13µm
net256,336.125µm
net1040,327.645µm
net1033,320.335µm
net1034,313.38µm
net994,308.68µm
net932,307.81µm
net2,302.9µm
net1032,301.4µm
net1063,295.57µm
net1061,291.735µm
net999,291.505µm
net954,289.135µm
net26,288.34µm
net1037,286.895µm
net964,284.32µm
net348,281.655µm
net854,277.88µm
net1047,277.33µm
net336,276.655µm
net963,275.33µm
net1055,271.16µm
net1045,270.445µm
net1036,266.87µm
net7,266.5µm
net255,265.765µm
clknet_1_0__leaf_net230,261.67µm
net975,260.89µm
net971,259.88µm
net1002,255.46µm
clknet_4_0_0_clk,252.745µm
net938,251.98µm
net935,250.18µm
clk,245.19µm
clknet_4_13_0_clk,243.8µm
net186,243.5µm
clknet_4_3_0_clk,242.96µm
net360,240.57µm
net985,238.76µm
net1011,238.72µm
clknet_4_2_0_clk,237.99µm
clknet_1_0__leaf_net1025,234.12µm
net939,234.01µm
clknet_4_15_0_clk,232.28µm
net94,231.31µm
net820,230.605µm
net1031,229.44µm
clknet_4_4_0_clk,228.88µm
net313,228.12µm
clknet_4_14_0_clk,227.845µm
net5,225.72µm
net962,224.14µm
clknet_4_5_0_clk,224.13µm
clknet_4_7_0_clk,223.53µm
net955,222.87µm
net991,220.89µm
clknet_1_0__leaf_net453,218.67µm
net1042,218.44µm
net609,216.23µm
clknet_1_0__leaf_net990,216.025µm
net1027,215.44µm
net252,213.53µm
net422,213.3µm
clknet_4_1_0_clk,210.85µm
net1001,210.41µm
net86,210.22µm
net221,208.36µm
net213,207.07µm
net397,206.8µm
net948,202.18µm
net1060,202.16µm
net965,201.56µm
clknet_1_1__leaf_net1025,200.375µm
net293,199.55µm
net1059,199.48µm
net273,199.175µm
net165,199.105µm
net993,199.05µm
net166,197.78µm
net568,197.04µm
clknet_1_1__leaf_net565,196.96µm
clknet_1_0__leaf_net398,194.86µm
net983,194.02µm
clknet_1_0__leaf_net1023,191.56µm
clknet_1_1__leaf_net867,190.68µm
net217,187.695µm
net480,186.88µm
clknet_4_6_0_clk,185.6µm
net103,185.31µm
net338,183.43µm
clknet_1_0__leaf_net867,183.18µm
net274,181.89µm
net1053,181.79µm
net268,181.48µm
clknet_1_1__leaf_net1023,181.22µm
net50,178.735µm
net182,177.585µm
net1029,177.515µm
net1050,176.36µm
net19,175.85µm
net946,175.18µm
net349,174.945µm
net578,174.905µm
clknet_1_1__leaf_net786,174.9µm
net1044,174.85µm
net219,174.6µm
net594,174.52µm
net561,172.225µm
net347,171.23µm
net856,171.22µm
net214,170.36µm
net261,169.965µm
net128,169.94µm
net451,169.58µm
net1043,168.105µm
net973,167.18µm
net1046,165.46µm
net6,165.145µm
net477,164.55µm
net1030,164.46µm
net1052,164.06µm
net536,162.71µm
net499,162.68µm
net796,162.345µm
net83,161.63µm
net92,161.34µm
net909,161.29µm
clknet_1_0__leaf_net1014,160.76µm
clknet_1_1__leaf_net230,160.24µm
net295,159.75µm
net282,159.46µm
net250,159.21µm
net931,158.68µm
net9,158.33µm
net570,157.155µm
net1008,153.78µm
net1107,152.71µm
clknet_1_1__leaf_net990,151.21µm
clknet_4_8_0_clk,151.01µm
clknet_1_1__leaf_net453,150.68µm
net249,149.67µm
net32,149.535µm
net260,149.3µm
net930,146.34µm
net984,144.01µm
net837,143.895µm
clknet_1_0__leaf_net565,143.88µm
net936,143.26µm
net459,143.2µm
clknet_4_11_0_clk,143.11µm
net1006,143.08µm
net986,142.4µm
net877,141.41µm
net890,140.99µm
net239,139.23µm
net152,138.95µm
clknet_4_12_0_clk,138.48µm
net1039,138.32µm
net233,138.035µm
net960,137.16µm
net363,136.555µm
net323,136.08µm
net364,136.06µm
net446,136.03µm
net774,135.92µm
net88,135.785µm
net875,135.56µm
net708,134.24µm
net1000,134.18µm
net240,133.82µm
net876,133.75µm
net230,132.38µm
net522,131.685µm
net519,131.43µm
clknet_1_1__leaf_net398,131.39µm
clknet_1_0__leaf_net342,131.2µm
net227,129.31µm
net1080,128.96µm
net593,128.61µm
clknet_0_net990,128.56µm
clknet_1_1__leaf_net335,128.26µm
net180,127.925µm
net885,127.91µm
net580,127.86µm
net485,127.34µm
net484,127.24µm
net507,127.155µm
net886,126.63µm
net997,125.5µm
net130,125.4µm
net4,124.76µm
net102,124.155µm
net738,124.07µm
net1004,123.22µm
net238,122.27µm
net301,121.91µm
clknet_1_0__leaf_net381,121.73µm
net833,121.025µm
net777,119.23µm
net722,118.91µm
net1054,118.58µm
net12,117.905µm
net147,117.84µm
net869,117.34µm
net281,117.23µm
net468,116.55µm
net793,115.91µm
net265,115.445µm
net614,115.29µm
net290,115.26µm
net606,115.22µm
clknet_4_9_0_clk,115.05µm
net867,113.91µm
net107,112.69µm
net905,112.39µm
net977,112.38µm
net37,112.24µm
net337,111.885µm
clknet_0_net1025,111.62µm
net64,111.53µm
net1007,110.36µm
clknet_0_net565,109.78µm
clknet_1_0__leaf_net786,109.16µm
net175,108.98µm
net988,108.88µm
net797,108.545µm
net945,108.025µm
net193,107.64µm
net1025,107.56µm
net1015,106.68µm
clknet_1_1__leaf_net987,105.48µm
net754,105.43µm
net1028,104.37µm
net990,104.09µm
net184,104.08µm
net181,103.92µm
clknet_1_0__leaf_net1003,102.46µm
net842,101.83µm
clknet_1_1__leaf_net381,100.94µm
net758,100.58µm
clknet_1_0__leaf_net987,100.2µm
net101,99.68µm
net746,98.92µm
net18,98.85µm
net374,98.74µm
clknet_1_1__leaf_net270,98.67µm
net814,97.37µm
net112,97.285µm
net934,97.24µm
net501,97.005µm
net317,96.96µm
clknet_0_net786,96.94µm
net455,96.68µm
net179,96.35µm
net817,95.61µm
net413,95.2µm
clknet_1_0__leaf_net270,94.82µm
clknet_1_0__leaf_net262,94.8µm
net160,94.44µm
net157,94.18µm
net416,94.07µm
net266,93.785µm
net588,92.68µm
net380,92.47µm
net933,92.34µm
net116,91.88µm
net381,91.69µm
net672,91.6µm
net844,91.24µm
net405,91.22µm
net400,89.68µm
net585,89.56µm
net883,89.4µm
net353,89.06µm
clknet_1_1__leaf_net452,88.895µm
net155,88.61µm
net715,88.37µm
net565,88.24µm
net342,88.06µm
net41,87.34µm
clknet_1_0__leaf_net881,86.86µm
net483,86.73µm
net1018,86.56µm
clknet_4_10_0_clk,86.41µm
net676,86.2µm
net398,86.12µm
net427,85.96µm
net677,85.96µm
net836,85.76µm
net1016,85.68µm
net428,85.4µm
net158,85.1µm
clknet_1_0__leaf_net643,85.08µm
net863,84.94µm
net1005,84.71µm
net216,84.68µm
clknet_1_1__leaf_net643,84.53µm
net29,83.76µm
net89,83.75µm
net133,83.6µm
net17,83.5µm
net781,82.96µm
net1076,82.905µm
clknet_0_net1014,82.46µm
net1013,82.21µm
net1017,81.7µm
clknet_1_1__leaf_net617,81.38µm
net714,80.9µm
clknet_1_0__leaf_net335,80.46µm
net404,80.36µm
net414,80.29µm
net426,79.945µm
net911,79.71µm
net732,79.48µm
net324,79.02µm
net231,78.665µm
net73,78.65µm
net454,78.36µm
net1023,78.3µm
net502,78.29µm
net138,77.975µm
net748,77.87µm
net453,77.78µm
clknet_0_net881,77.3µm
net72,77.2µm
clknet_1_1__leaf_net458,77.04µm
net310,76.57µm
net45,76.555µm
net59,76.51µm
net818,76.44µm
clknet_1_0__leaf_net617,75.98µm
net786,75.94µm
net729,75.64µm
net840,74.92µm
clknet_1_0__leaf_net452,74.58µm
net298,73.98µm
net896,73.86µm
net918,73.65µm
net121,73.64µm
net187,73.64µm
net1014,73.08µm
net322,73.045µm
net14,72.91µm
net242,72.65µm
net394,72.42µm
net306,72.06µm
net852,71.98µm
net881,71.98µm
net185,71.61µm
net887,71.26µm
net48,70.95µm
net549,70.88µm
net109,70.71µm
net13,70.66µm
net463,70.18µm
net42,69.92µm
net633,69.9µm
net350,69.56µm
net982,69.54µm
net164,69.46µm
net270,69.16µm
net590,69.16µm
net421,68.98µm
net341,68.66µm
net1051,68.63µm
net1082,68.39µm
net207,68.04µm
net257,67.93µm
net888,67.64µm
net433,67.24µm
net97,66.525µm
net488,66.27µm
net819,65.81µm
net689,65.74µm
net849,65.72µm
net897,65.58µm
net171,65.28µm
clknet_1_1__leaf_net577,65.25µm
net241,65.12µm
net889,64.61µm
net937,64.19µm
net53,64.11µm
net344,63.94µm
net329,63.76µm
net224,63.59µm
net940,63.58µm
net284,63.56µm
net629,63.42µm
net11,63.28µm
net584,63.27µm
net855,63.15µm
net466,63.1µm
net1049,63.06µm
net864,62.76µm
net1012,62.6µm
net1086,62.51µm
net132,61.82µm
net191,61.72µm
net0,61.64µm
net343,61.62µm
net981,61.58µm
net1077,61.54µm
net151,61.36µm
net511,61.32µm
net420,61.18µm
net778,60.74µm
net150,60.7µm
net998,60.68µm
clknet_1_0__leaf_net462,60.56µm
net39,60.54µm
net1021,59.96µm
net995,59.8µm
net838,59.78µm
net198,59.71µm
net82,59.66µm
clknet_1_1__leaf_net342,59.54µm
net44,59.48µm
net321,59.34µm
net449,59.24µm
net857,58.725µm
net27,58.72µm
net136,58.68µm
net839,58.62µm
net289,58.54µm
net517,58.49µm
net779,58.47µm
net24,58.44µm
net916,58.26µm
net604,58.225µm
net776,58.05µm
clknet_1_0__leaf_net577,57.98µm
clknet_1_1__leaf_net222,57.965µm
net486,57.35µm
net387,57.035µm
net20,56.96µm
clknet_1_1__leaf_net881,56.51µm
net575,55.88µm
net1075,55.74µm
net8,55.72µm
net637,55.495µm
net859,55.08µm
net823,55.04µm
net564,54.83µm
net28,54.82µm
net448,54.72µm
net617,54.72µm
net110,54.705µm
net294,54.61µm
net810,54.51µm
clknet_0_net463,54.32µm
clknet_1_0__leaf_net481,54.3µm
net773,54.28µm
net384,54.2µm
net752,54.2µm
net167,54.16µm
clknet_1_0__leaf_net576,54.095µm
net115,53.4µm
net613,53.4µm
net698,53.14µm
net966,53.12µm
net843,53.08µm
net853,52.815µm
clknet_1_0__leaf_net412,52.56µm
net70,52.54µm
net654,52.4µm
net159,52.38µm
clknet_1_1__leaf_net262,52.32µm
net46,52.23µm
net1108,52.08µm
net283,52.06µm
net730,51.94µm
net567,51.86µm
net467,51.82µm
net452,51.8µm
net868,51.74µm
net761,51.73µm
net125,51.54µm
net628,51.16µm
net439,50.88µm
clknet_0_net342,50.76µm
net866,50.58µm
net200,50.545µm
net412,50.54µm
net874,50.4µm
net192,50.12µm
net743,49.96µm
net30,49.94µm
net804,49.76µm
clknet_0_net262,49.4µm
net750,49.34µm
net705,49.18µm
net848,49µm
clknet_1_1__leaf_net481,48.87µm
clknet_0_net453,48.66µm
net601,48.63µm
net370,48.62µm
net808,48.39µm
net803,48.145µm
net389,48.06µm
clknet_1_0__leaf_net454,47.96µm
net118,47.84µm
net21,47.66µm
net84,47.58µm
clknet_0_net452,47.54µm
net687,47.52µm
clknet_0_net1003,47.46µm
net634,47.22µm
net223,47.07µm
clknet_1_1__leaf_net419,46.86µm
clknet_1_1__leaf_net1014,46.82µm
net961,46.76µm
net288,46.63µm
net543,46.5µm
clknet_1_0__leaf_net222,46.465µm
net882,46.46µm
net1003,46.38µm
net862,46.34µm
net305,46.19µm
clknet_0_net381,46.1µm
net409,45.88µm
net539,45.86µm
net787,45.86µm
net621,45.77µm
net653,45.4µm
clknet_1_0__leaf_net623,45.34µm
clknet_0_net995,45.3µm
clknet_1_1__leaf_net412,45.18µm
net335,45.14µm
net790,45.06µm
net794,45µm
net60,44.9µm
net791,44.72µm
net390,44.64µm
net460,44.58µm
net368,44.44µm
net201,44.355µm
net872,44.12µm
net114,44.09µm
net218,44.02µm
net95,43.92µm
net69,43.62µm
net942,43.62µm
net996,43.46µm
net372,43.32µm
net770,43.28µm
net671,43.01µm
net435,42.9µm
net264,42.84µm
net162,42.76µm
net212,42.7µm
net315,42.675µm
net1048,42.66µm
clknet_0_net867,42.5µm
net516,41.94µm
net1026,41.84µm
clknet_0_net230,41.68µm
net204,41.545µm
net149,41.47µm
net497,41.46µm
clknet_0_net880,41.3µm
clknet_1_0__leaf_net582,41.29µm
clknet_1_1__leaf_net866,41.22µm
net652,41.21µm
net99,41.04µm
clknet_0_net1023,40.84µm
net1083,40.75µm
net947,40.66µm
net106,40.42µm
clknet_1_1__leaf_net554,40.4µm
net47,40.16µm
net441,40.1µm
net1081,39.87µm
net493,39.825µm
clknet_1_0__leaf_net534,39.66µm
net701,39.64µm
net302,39.48µm
net805,39.41µm
net445,39.28µm
net490,39.26µm
clknet_1_0__leaf_net566,39.24µm
net80,39.04µm
clknet_1_1__leaf_net462,38.9µm
net595,38.86µm
net762,38.86µm
net3,38.82µm
net16,38.64µm
net100,38.58µm
net419,38.54µm
net71,38.52µm
net508,38.405µm
clknet_0_net987,38.34µm
net334,38.14µm
net331,38.02µm
net1019,37.96µm
net90,37.86µm
net1091,37.86µm
net65,37.83µm
net879,37.74µm
clknet_1_0__leaf_net860,37.72µm
net949,37.68µm
net596,37.38µm
clknet_1_0__leaf_net147,37.1µm
net987,36.92µm
net311,36.74µm
net1,36.7µm
net478,36.64µm
clknet_1_0__leaf_net365,36.64µm
clknet_1_0__leaf_net136,36.32µm
net491,36.18µm
net989,36.12µm
net291,36.02µm
net22,35.9µm
net619,35.84µm
net851,35.73µm
net679,35.62µm
net809,35.52µm
net312,35.46µm
net826,35.37µm
clknet_0_net919,35.34µm
net695,35.12µm
net684,34.76µm
net79,34.58µm
clknet_0_net481,34.4µm
clknet_1_1__leaf_net880,34.38µm
net527,34.34µm
net835,34.34µm
net801,34.04µm
net87,34.02µm
net574,33.895µm
net816,33.84µm
clknet_1_1__leaf_net136,33.76µm
clknet_1_1__leaf_net899,33.68µm
net63,33.48µm
clknet_1_0__leaf_net535,33.475µm
net202,33.24µm
net926,33.16µm
net858,33.145µm
net538,33.1µm
net760,32.98µm
net824,32.92µm
clknet_0_net136,32.84µm
net222,32.74µm
net458,32.66µm
net509,32.55µm
net40,32.54µm
net518,32.54µm
clknet_0_net530,32.54µm
clknet_1_0__leaf_net647,32.48µm
net548,32.46µm
clknet_1_0__leaf_net992,32.32µm
net551,32.2µm
net1010,32.16µm
clknet_0_net616,32.12µm
net444,32µm
net245,31.98µm
clknet_1_1__leaf_net827,31.82µm
net220,31.505µm
net929,31.48µm
clknet_1_0__leaf_net866,31.34µm
net215,31.24µm
net1074,31.24µm
clknet_0_net340,31µm
clknet_0_net388,31µm
clknet_1_1__leaf_net623,30.92µm
clknet_0_net367,30.88µm
net957,30.78µm
net898,30.63µm
clknet_0_net647,30.54µm
clknet_1_1__leaf_net566,30.46µm
clknet_0_net366,30.36µm
net521,30.29µm
net907,30.28µm
net765,30.21µm
net821,30.2µm
net243,30.16µm
net943,30.12µm
clknet_0_net586,30.08µm
net782,30.005µm
clknet_1_0__leaf_net419,29.98µm
clknet_0_net222,29.96µm
net462,29.84µm
net873,29.84µm
clknet_0_net321,29.78µm
net560,29.7µm
clknet_1_0__leaf_net995,29.65µm
clknet_0_net474,29.44µm
net391,29.42µm
clknet_0_net270,29.42µm
net577,29.34µm
clknet_1_0__leaf_net463,29.18µm
net105,29.08µm
net623,29.06µm
net813,29µm
net432,28.94µm
net296,28.78µm
clknet_0_net464,28.78µm
net196,28.6µm
clknet_0_net655,28.52µm
net900,28.48µm
net952,28.4µm
clknet_1_1__leaf_net425,28.36µm
clknet_0_net267,28.32µm
net673,28.28µm
clknet_0_net830,28.2µm
net815,28.16µm
net396,27.92µm
net643,27.92µm
net700,27.9µm
clknet_1_0__leaf_net399,27.68µm
clknet_0_net399,27.6µm
clknet_0_net827,27.4µm
clknet_0_net510,27.32µm
net357,27.31µm
net830,27.26µm
net895,27.24µm
net658,27.22µm
clknet_1_0__leaf_net900,27.13µm
net959,27.1µm
clknet_0_net577,27.1µm
clknet_0_net419,26.98µm
clknet_1_0__leaf_net458,26.84µm
net1024,26.755µm
clknet_0_net333,26.66µm
net244,26.56µm
clknet_0_net316,26.56µm
clknet_0_net554,26.48µm
clknet_0_net147,26.48µm
clknet_0_net643,26.44µm
net757,26.43µm
net498,26.28µm
net723,26.26µm
net161,26.22µm
net1009,26.1µm
net277,26.04µm
clknet_0_net866,26.02µm
clknet_0_net385,26.02µm
clknet_0_net398,26.02µm
clknet_1_1__leaf_net860,25.79µm
clknet_0_net375,25.76µm
net403,25.75µm
net399,25.72µm
net563,25.5µm
clknet_1_0__leaf_net375,25.5µm
net434,25.48µm
clknet_0_net597,25.44µm
clknet_0_net276,25.44µm
net314,25.42µm
clknet_1_0__leaf_net321,25.34µm
net846,25.18µm
clknet_0_net391,25.16µm
net246,25.1µm
clknet_1_1__leaf_net597,25.1µm
