Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VGND,li1,291.1800,288.3200,0.001134
FILLER_0_101_613,VGND,li1,288.1900,288.3200,0.001134
FILLER_0_101_601,VGND,li1,284.7400,288.3200,0.001134
FILLER_0_101_589,VGND,li1,279.2200,288.3200,0.001134
FILLER_0_101_585,VGND,li1,275.3100,288.3200,0.001134
FILLER_0_101_573,VGND,li1,271.8600,288.3200,0.001134
FILLER_0_101_561,VGND,li1,266.3400,288.3200,0.001134
FILLER_0_101_557,VGND,li1,262.4300,288.3200,0.001134
FILLER_0_101_545,VGND,li1,256.6800,288.3200,0.001133
FILLER_0_101_533,VGND,li1,253.4600,288.3200,0.001132
FILLER_0_101_529,VGND,li1,249.5500,288.3200,0.001131
FILLER_0_101_517,VGND,li1,246.1000,288.3200,0.001130
FILLER_0_101_499,VGND,li1,235.7500,288.3200,0.001116
FILLER_0_101_492,VGND,li1,232.0700,288.3200,0.001092
FILLER_0_101_485,VGND,li1,228.8500,288.3200,0.001064
FILLER_0_101_473,VGND,li1,223.7900,288.3200,0.001012
FILLER_0_101_461,VGND,li1,220.3400,288.3200,0.000960
FILLER_0_101_455,VGND,li1,215.0500,288.3200,0.000852
FILLER_0_101_449,VGND,li1,213.4400,288.3200,0.000852
FILLER_0_101_447,VGND,li1,211.3700,288.3200,0.000798
FILLER_0_101_443,VGND,li1,210.2200,288.3200,0.000798
FILLER_0_101_431,VGND,li1,206.5400,288.3200,0.000737
FILLER_0_101_419,VGND,li1,198.4900,288.3200,0.000575
FILLER_0_101_413,VGND,li1,196.8800,288.3200,0.000575
FILLER_0_101_401,VGND,li1,192.7400,288.3200,0.000505
FILLER_0_101_391,VGND,li1,185.6100,288.3200,0.000373
FILLER_0_101_333,VGND,li1,159.3900,288.3200,0.000434
FILLER_0_101_303,VGND,li1,145.1300,288.3200,0.000562
FILLER_0_101_294,VGND,li1,141.4500,288.3200,0.000556
FILLER_0_101_286,VGND,li1,137.5400,288.3200,0.000539
FILLER_0_101_279,VGND,li1,134.0900,288.3200,0.000532
FILLER_0_101_273,VGND,li1,131.3300,288.3200,0.000518
FILLER_0_101_265,VGND,li1,127.8800,288.3200,0.000510
FILLER_0_101_259,VGND,li1,124.8900,288.3200,0.000496
FILLER_0_101_240,VGND,li1,116.1500,288.3200,0.000461
FILLER_0_101_230,VGND,li1,112.2400,288.3200,0.000452
FILLER_0_101_223,VGND,li1,108.3300,288.3200,0.000432
FILLER_0_101_219,VGND,li1,106.4900,288.3200,0.000425
FILLER_0_101_203,VGND,li1,99.1300,288.3200,0.000397
FILLER_0_101_174,VGND,li1,88.3200,288.3200,0.000348
FILLER_0_101_165,VGND,li1,82.1100,288.3200,0.000319
FILLER_0_101_153,VGND,li1,78.6600,288.3200,0.000303
FILLER_0_101_147,VGND,li1,73.3700,288.3200,0.000270
FILLER_0_101_141,VGND,li1,71.7600,288.3200,0.000270
FILLER_0_101_137,VGND,li1,69.2300,288.3200,0.000258
FILLER_0_101_125,VGND,li1,65.7800,288.3200,0.000242
FILLER_0_101_113,VGND,li1,60.2600,288.3200,0.000215
FILLER_0_101_109,VGND,li1,56.3500,288.3200,0.000197
FILLER_0_101_97,VGND,li1,52.9000,288.3200,0.000180
FILLER_0_101_85,VGND,li1,47.3800,288.3200,0.000154
FILLER_0_101_81,VGND,li1,43.4700,288.3200,0.000135
FILLER_0_101_69,VGND,li1,40.0200,288.3200,0.000119
FILLER_0_101_57,VGND,li1,34.5000,288.3200,0.000092
FILLER_0_101_53,VGND,li1,30.5900,288.3200,0.000074
FILLER_0_101_41,VGND,li1,27.1400,288.3200,0.000057
FILLER_0_101_29,VGND,li1,21.6200,288.3200,0.000048
FILLER_0_101_27,VGND,li1,18.1700,288.3200,0.000048
FILLER_0_101_15,VGND,li1,15.1800,288.3200,0.000048
FILLER_0_101_3,VGND,li1,9.6600,288.3200,0.000048
FILLER_0_100_613,VGND,li1,290.2600,282.8800,0.000296
FILLER_0_100_601,VGND,li1,284.7400,282.8800,0.000296
FILLER_0_100_589,VGND,li1,279.2200,282.8800,0.000296
FILLER_0_100_587,VGND,li1,275.7700,282.8800,0.000296
FILLER_0_100_581,VGND,li1,274.1600,282.8800,0.000296
FILLER_0_100_569,VGND,li1,270.0200,282.8800,0.000296
FILLER_0_100_557,VGND,li1,264.5000,282.8800,0.000296
FILLER_0_100_545,VGND,li1,258.9800,282.8800,0.000296
FILLER_0_100_533,VGND,li1,253.4600,282.8800,0.000296
FILLER_0_100_530,VGND,li1,249.7800,282.8800,0.000296
FILLER_0_100_522,VGND,li1,247.4800,282.8800,0.000296
FILLER_0_100_510,VGND,li1,242.8800,282.8800,0.000296
FILLER_0_100_498,VGND,li1,237.3600,282.8800,0.000296
FILLER_0_100_486,VGND,li1,231.8400,282.8800,0.000296
FILLER_0_100_483,VGND,li1,227.9300,282.8800,0.000296
FILLER_0_100_477,VGND,li1,226.3200,282.8800,0.000296
FILLER_0_100_475,VGND,li1,224.2500,282.8800,0.000293
FILLER_0_100_469,VGND,li1,222.6400,282.8800,0.000289
FILLER_0_100_457,VGND,li1,218.5000,282.8800,0.000284
FILLER_0_100_445,VGND,li1,212.9800,282.8800,0.000276
FILLER_0_100_433,VGND,li1,207.4600,282.8800,0.000267
FILLER_0_100_421,VGND,li1,201.9400,282.8800,0.000260
FILLER_0_100_416,VGND,li1,197.8000,282.8800,0.000251
FILLER_0_100_404,VGND,li1,194.1200,282.8800,0.000227
FILLER_0_100_392,VGND,li1,188.6000,282.8800,0.000205
FILLER_0_100_380,VGND,li1,183.0800,282.8800,0.000176
FILLER_0_100_373,VGND,li1,177.7900,282.8800,0.000169
FILLER_0_100_363,VGND,li1,172.7300,282.8800,0.000201
FILLER_0_100_359,VGND,li1,171.5800,282.8800,0.000201
FILLER_0_100_350,VGND,li1,166.7500,282.8800,0.000227
FILLER_0_100_340,VGND,li1,163.7600,282.8800,0.000238
FILLER_0_100_328,VGND,li1,159.1600,282.8800,0.000252
FILLER_0_100_316,VGND,li1,153.6400,282.8800,0.000271
FILLER_0_100_304,VGND,li1,146.2800,282.8800,0.000287
FILLER_0_100_299,VGND,li1,143.7500,282.8800,0.000284
FILLER_0_100_287,VGND,li1,140.3000,282.8800,0.000282
FILLER_0_100_275,VGND,li1,134.7800,282.8800,0.000276
FILLER_0_100_263,VGND,li1,129.2600,282.8800,0.000270
FILLER_0_100_253,VGND,li1,123.7400,282.8800,0.000262
FILLER_0_100_244,VGND,li1,119.6000,282.8800,0.000253
FILLER_0_100_232,VGND,li1,115.0000,282.8800,0.000247
