Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.798737
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.798737
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.798737
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.798737
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.798737
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.798737
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.798737
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.798737
FILLER_0_101_545,VPWR,li1,256.6800,285.6000,1.798738
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.798739
FILLER_0_101_529,VPWR,li1,249.5500,285.6000,1.798740
FILLER_0_101_517,VPWR,li1,246.1000,285.6000,1.798741
FILLER_0_101_499,VPWR,li1,235.7500,285.6000,1.798755
FILLER_0_101_492,VPWR,li1,232.0700,285.6000,1.798779
FILLER_0_101_485,VPWR,li1,228.8500,285.6000,1.798807
FILLER_0_101_473,VPWR,li1,223.7900,285.6000,1.798877
FILLER_0_101_461,VPWR,li1,220.3400,285.6000,1.798911
FILLER_0_101_455,VPWR,li1,215.0500,285.6000,1.798994
FILLER_0_101_449,VPWR,li1,213.4400,285.6000,1.799028
FILLER_0_101_447,VPWR,li1,211.3700,285.6000,1.799074
FILLER_0_101_443,VPWR,li1,210.2200,285.6000,1.799074
FILLER_0_101_431,VPWR,li1,206.5400,285.6000,1.799136
FILLER_0_101_419,VPWR,li1,198.4900,285.6000,1.799297
FILLER_0_101_413,VPWR,li1,196.8800,285.6000,1.799297
FILLER_0_101_401,VPWR,li1,192.7400,285.6000,1.799367
FILLER_0_101_391,VPWR,li1,185.6100,285.6000,1.799500
FILLER_0_101_333,VPWR,li1,159.3900,285.6000,1.799541
FILLER_0_101_303,VPWR,li1,145.1300,285.6000,1.799401
FILLER_0_101_294,VPWR,li1,141.4500,285.6000,1.799412
FILLER_0_101_286,VPWR,li1,137.5400,285.6000,1.799426
FILLER_0_101_279,VPWR,li1,134.0900,285.6000,1.799434
FILLER_0_101_273,VPWR,li1,131.3300,285.6000,1.799448
FILLER_0_101_265,VPWR,li1,127.8800,285.6000,1.799456
FILLER_0_101_259,VPWR,li1,124.8900,285.6000,1.799472
FILLER_0_101_240,VPWR,li1,116.1500,285.6000,1.799507
FILLER_0_101_230,VPWR,li1,112.2400,285.6000,1.799523
FILLER_0_101_223,VPWR,li1,108.3300,285.6000,1.799533
FILLER_0_101_219,VPWR,li1,106.4900,285.6000,1.799542
FILLER_0_101_203,VPWR,li1,99.1300,285.6000,1.799579
FILLER_0_101_174,VPWR,li1,88.3200,285.6000,1.799623
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.799653
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.799670
FILLER_0_101_147,VPWR,li1,73.3700,285.6000,1.799697
FILLER_0_101_141,VPWR,li1,71.7600,285.6000,1.799712
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799722
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799733
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799761
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799780
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799797
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799824
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799849
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799860
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799887
FILLER_0_101_53,VPWR,li1,30.5900,285.6000,1.799907
FILLER_0_101_41,VPWR,li1,27.1400,285.6000,1.799924
FILLER_0_101_29,VPWR,li1,21.6200,285.6000,1.799951
FILLER_0_101_27,VPWR,li1,18.1700,285.6000,1.799951
FILLER_0_101_15,VPWR,li1,15.1800,285.6000,1.799951
FILLER_0_101_3,VPWR,li1,9.6600,285.6000,1.799951
FILLER_0_100_613,VPWR,li1,290.2600,285.6000,1.798737
FILLER_0_100_601,VPWR,li1,284.7400,285.6000,1.798737
FILLER_0_100_589,VPWR,li1,279.2200,285.6000,1.798737
FILLER_0_100_587,VPWR,li1,275.7700,285.6000,1.798737
FILLER_0_100_581,VPWR,li1,274.1600,285.6000,1.798737
FILLER_0_100_569,VPWR,li1,270.0200,285.6000,1.798737
FILLER_0_100_557,VPWR,li1,264.5000,285.6000,1.798737
FILLER_0_100_545,VPWR,li1,258.9800,285.6000,1.798737
FILLER_0_100_533,VPWR,li1,253.4600,285.6000,1.798739
FILLER_0_100_530,VPWR,li1,249.7800,285.6000,1.798740
FILLER_0_100_522,VPWR,li1,247.4800,285.6000,1.798741
FILLER_0_100_510,VPWR,li1,242.8800,285.6000,1.798742
FILLER_0_100_498,VPWR,li1,237.3600,285.6000,1.798755
FILLER_0_100_486,VPWR,li1,231.8400,285.6000,1.798779
FILLER_0_100_483,VPWR,li1,227.9300,285.6000,1.798807
FILLER_0_100_477,VPWR,li1,226.3200,285.6000,1.798845
FILLER_0_100_475,VPWR,li1,224.2500,285.6000,1.798877
FILLER_0_100_469,VPWR,li1,222.6400,285.6000,1.798877
FILLER_0_100_457,VPWR,li1,218.5000,285.6000,1.798963
FILLER_0_100_445,VPWR,li1,212.9800,285.6000,1.799028
FILLER_0_100_433,VPWR,li1,207.4600,285.6000,1.799136
FILLER_0_100_421,VPWR,li1,201.9400,285.6000,1.799220
FILLER_0_100_416,VPWR,li1,197.8000,285.6000,1.799297
FILLER_0_100_404,VPWR,li1,194.1200,285.6000,1.799367
FILLER_0_100_392,VPWR,li1,188.6000,285.6000,1.799461
FILLER_0_100_380,VPWR,li1,183.0800,285.6000,1.799551
FILLER_0_100_373,VPWR,li1,177.7900,285.6000,1.799643
FILLER_0_100_363,VPWR,li1,172.7300,285.6000,1.799666
FILLER_0_100_359,VPWR,li1,171.5800,285.6000,1.799666
FILLER_0_100_350,VPWR,li1,166.7500,285.6000,1.799607
FILLER_0_100_340,VPWR,li1,163.7600,285.6000,1.799584
FILLER_0_100_328,VPWR,li1,159.1600,285.6000,1.799541
FILLER_0_100_316,VPWR,li1,153.6400,285.6000,1.799488
FILLER_0_100_304,VPWR,li1,146.2800,285.6000,1.799422
FILLER_0_100_299,VPWR,li1,143.7500,285.6000,1.799401
FILLER_0_100_287,VPWR,li1,140.3000,285.6000,1.799412
FILLER_0_100_275,VPWR,li1,134.7800,285.6000,1.799434
FILLER_0_100_263,VPWR,li1,129.2600,285.6000,1.799456
FILLER_0_100_253,VPWR,li1,123.7400,285.6000,1.799472
FILLER_0_100_244,VPWR,li1,119.6000,285.6000,1.799489
FILLER_0_100_232,VPWR,li1,115.0000,285.6000,1.799507
FILLER_0_100_220,VPWR,li1,109.4800,285.6000,1.799533
FILLER_0_100_213,VPWR,li1,103.7300,285.6000,1.799559
FILLER_0_100_197,VPWR,li1,96.3700,285.6000,1.799589
FILLER_0_100_195,VPWR,li1,95.4500,285.6000,1.799589
FILLER_0_100_189,VPWR,li1,93.8400,285.6000,1.799599
FILLER_0_100_177,VPWR,li1,89.7000,285.6000,1.799623
FILLER_0_100_165,VPWR,li1,84.1800,285.6000,1.799643
FILLER_0_100_153,VPWR,li1,78.6600,285.6000,1.799670
FILLER_0_100_141,VPWR,li1,73.1400,285.6000,1.799697
FILLER_0_100_139,VPWR,li1,69.6900,285.6000,1.799722
FILLER_0_100_133,VPWR,li1,68.0800,285.6000,1.799722
FILLER_0_100_121,VPWR,li1,63.9400,285.6000,1.799742
FILLER_0_100_109,VPWR,li1,58.4200,285.6000,1.799770
FILLER_0_100_97,VPWR,li1,52.9000,285.6000,1.799797
FILLER_0_100_85,VPWR,li1,47.3800,285.6000,1.799824
FILLER_0_100_83,VPWR,li1,43.9300,285.6000,1.799849
FILLER_0_100_77,VPWR,li1,42.3200,285.6000,1.799849
FILLER_0_100_65,VPWR,li1,38.1800,285.6000,1.799869
FILLER_0_100_53,VPWR,li1,32.6600,285.6000,1.799896
FILLER_0_100_41,VPWR,li1,27.1400,285.6000,1.799924
FILLER_0_100_29,VPWR,li1,21.6200,285.6000,1.799951
FILLER_0_100_27,VPWR,li1,18.1700,285.6000,1.799951
FILLER_0_100_15,VPWR,li1,15.1800,285.6000,1.799951
FILLER_0_100_3,VPWR,li1,9.6600,285.6000,1.799951
FILLER_0_99_617,VPWR,li1,291.1800,280.1600,1.799163
FILLER_0_99_615,VPWR,li1,288.6500,280.1600,1.799163
FILLER_0_99_609,VPWR,li1,287.0400,280.1600,1.799163
FILLER_0_99_597,VPWR,li1,282.9000,280.1600,1.799163
FILLER_0_99_585,VPWR,li1,277.3800,280.1600,1.799163
FILLER_0_99_573,VPWR,li1,271.8600,280.1600,1.799163
FILLER_0_99_561,VPWR,li1,266.3400,280.1600,1.799163
FILLER_0_99_559,VPWR,li1,262.8900,280.1600,1.799163
FILLER_0_99_553,VPWR,li1,261.2800,280.1600,1.799163
FILLER_0_99_541,VPWR,li1,257.1400,280.1600,1.799163
FILLER_0_99_529,VPWR,li1,251.6200,280.1600,1.799163
FILLER_0_99_517,VPWR,li1,246.1000,280.1600,1.799163
FILLER_0_99_505,VPWR,li1,240.5800,280.1600,1.799164
FILLER_0_99_496,VPWR,li1,235.5200,280.1600,1.799168
FILLER_0_99_469,VPWR,li1,221.7200,280.1600,1.799204
