Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VGND,li1,291.1800,288.3200,0.003210
FILLER_0_101_613,VGND,li1,288.1900,288.3200,0.003210
FILLER_0_101_601,VGND,li1,284.7400,288.3200,0.003210
FILLER_0_101_589,VGND,li1,279.2200,288.3200,0.003210
FILLER_0_101_585,VGND,li1,275.3100,288.3200,0.003210
FILLER_0_101_573,VGND,li1,271.8600,288.3200,0.003210
FILLER_0_101_561,VGND,li1,266.3400,288.3200,0.003210
FILLER_0_101_557,VGND,li1,262.4300,288.3200,0.003210
FILLER_0_101_545,VGND,li1,258.9800,288.3200,0.003210
FILLER_0_101_533,VGND,li1,253.4600,288.3200,0.003210
FILLER_0_101_529,VGND,li1,249.5500,288.3200,0.003210
FILLER_0_101_517,VGND,li1,246.1000,288.3200,0.003210
FILLER_0_101_505,VGND,li1,240.5800,288.3200,0.003210
FILLER_0_101_501,VGND,li1,236.6700,288.3200,0.003210
FILLER_0_101_489,VGND,li1,233.2200,288.3200,0.003210
FILLER_0_101_477,VGND,li1,227.7000,288.3200,0.003210
FILLER_0_101_475,VGND,li1,224.2500,288.3200,0.003210
FILLER_0_101_443,VGND,li1,209.9900,288.3200,0.003026
FILLER_0_101_436,VGND,li1,206.3100,288.3200,0.002934
FILLER_0_101_426,VGND,li1,201.9400,288.3200,0.002818
FILLER_0_101_419,VGND,li1,198.4900,288.3200,0.002661
FILLER_0_101_415,VGND,li1,196.6500,288.3200,0.002522
FILLER_0_101_408,VGND,li1,193.4300,288.3200,0.002320
FILLER_0_101_391,VGND,li1,185.6100,288.3200,0.001655
FILLER_0_101_361,VGND,li1,172.2700,288.3200,0.001030
FILLER_0_101_352,VGND,li1,167.6700,288.3200,0.001052
FILLER_0_101_345,VGND,li1,164.4500,288.3200,0.001060
FILLER_0_101_335,VGND,li1,159.8500,288.3200,0.001067
FILLER_0_101_331,VGND,li1,158.0100,288.3200,0.001060
FILLER_0_101_324,VGND,li1,154.7900,288.3200,0.001045
FILLER_0_101_317,VGND,li1,151.5700,288.3200,0.001026
FILLER_0_101_301,VGND,li1,144.2100,288.3200,0.000990
FILLER_0_101_293,VGND,li1,142.1400,288.3200,0.000974
FILLER_0_101_281,VGND,li1,137.5400,288.3200,0.000939
FILLER_0_101_277,VGND,li1,133.6300,288.3200,0.000909
FILLER_0_101_265,VGND,li1,130.1800,288.3200,0.000882
FILLER_0_101_253,VGND,li1,124.6600,288.3200,0.000840
FILLER_0_101_249,VGND,li1,120.7500,288.3200,0.000810
FILLER_0_101_237,VGND,li1,117.3000,288.3200,0.000784
FILLER_0_101_225,VGND,li1,111.7800,288.3200,0.000741
FILLER_0_101_221,VGND,li1,107.8700,288.3200,0.000711
FILLER_0_101_209,VGND,li1,104.4200,288.3200,0.000685
FILLER_0_101_197,VGND,li1,98.9000,288.3200,0.000643
FILLER_0_101_193,VGND,li1,94.9900,288.3200,0.000613
FILLER_0_101_181,VGND,li1,91.5400,288.3200,0.000586
FILLER_0_101_169,VGND,li1,86.0200,288.3200,0.000544
FILLER_0_101_165,VGND,li1,82.1100,288.3200,0.000514
FILLER_0_101_153,VGND,li1,78.6600,288.3200,0.000487
FILLER_0_101_141,VGND,li1,73.1400,288.3200,0.000445
FILLER_0_101_137,VGND,li1,69.2300,288.3200,0.000415
FILLER_0_101_125,VGND,li1,65.7800,288.3200,0.000388
FILLER_0_101_113,VGND,li1,60.2600,288.3200,0.000346
FILLER_0_101_109,VGND,li1,56.3500,288.3200,0.000316
FILLER_0_101_97,VGND,li1,52.9000,288.3200,0.000290
FILLER_0_101_85,VGND,li1,47.3800,288.3200,0.000247
FILLER_0_101_81,VGND,li1,43.4700,288.3200,0.000217
FILLER_0_101_69,VGND,li1,40.0200,288.3200,0.000191
