net,length_um
clknet_0_clk,787.295µm
net850,582.77µm
net948,582.47µm
net826,573.27µm
net875,554.285µm
net840,525.48µm
net82,474.82µm
net951,461.62µm
net900,454.33µm
net952,445.835µm
net869,439.15µm
net844,436.03µm
net966,434.995µm
net1008,426.66µm
net950,425.86µm
net838,406.02µm
net898,393.31µm
net878,392.76µm
net862,387.08µm
net835,378.12µm
net922,378.02µm
net892,376.915µm
net72,375.66µm
net886,365.165µm
net958,352.755µm
net833,347.44µm
net907,342µm
net128,340.81µm
net968,335.32µm
net945,332.925µm
net774,325.92µm
clknet_1_0__leaf_net939,319.35µm
net123,308.925µm
net857,306.725µm
net873,306.635µm
net1027,305.74µm
net2,305.555µm
net842,301.81µm
net31,300.43µm
net327,296.365µm
net827,293.46µm
net350,286.42µm
net204,286.09µm
net339,285.41µm
net845,283.64µm
net936,279.58µm
clknet_1_0__leaf_net776,279.32µm
net896,277µm
net328,274.28µm
clknet_1_1__leaf_net939,271.865µm
net847,271.78µm
net973,271.76µm
net846,269.32µm
net216,268.61µm
net329,266.23µm
clk,263.91µm
net689,263.3µm
net1009,258.53µm
net887,258.37µm
net802,258.28µm
net259,252.8µm
net906,252.195µm
net859,252.105µm
net455,250.87µm
net829,249.78µm
net930,249.63µm
net386,248.12µm
net938,246.34µm
net870,245.87µm
net122,245.71µm
net326,245.24µm
net251,243.895µm
net911,243.06µm
net454,242.33µm
clknet_1_1__leaf_net776,241µm
net888,239.88µm
net753,239.35µm
net941,239.25µm
net383,237.48µm
net30,236.625µm
net970,235.36µm
net75,230.28µm
net961,230µm
net65,229.32µm
net913,227.1µm
net346,226.26µm
net771,224.12µm
net69,224.06µm
net235,223.08µm
net194,222.7µm
net934,221.84µm
net925,220.325µm
net946,216.9µm
net897,216.755µm
net232,214.86µm
net163,213.69µm
net916,212.91µm
net334,211.41µm
net319,210.98µm
net969,210.945µm
clknet_1_1__leaf_net899,210.36µm
net556,207.09µm
net782,206.61µm
net908,206.49µm
net102,206.04µm
net252,204.67µm
net192,202.575µm
net877,201.66µm
clknet_1_1__leaf_net894,201.12µm
net120,200.87µm
net967,199.685µm
clknet_4_6_0_clk,198.28µm
net784,197.41µm
net226,196.82µm
net919,196.66µm
net138,196.23µm
net83,195.94µm
net754,195.17µm
net935,194.8µm
net762,193.54µm
net923,189.46µm
clknet_1_0__leaf_net899,189µm
net792,188.94µm
net85,187.04µm
net810,186.26µm
net49,186.08µm
net836,185.68µm
net261,182.16µm
net960,181.24µm
net480,178.04µm
net97,177.54µm
net962,177.08µm
net965,176.67µm
net931,175.68µm
net191,173.41µm
net37,171.84µm
clknet_1_1__leaf_net794,170.72µm
net201,170.44µm
net783,169.835µm
net402,169.8µm
clknet_4_4_0_clk,169.08µm
net8,168.875µm
net903,168.1µm
net23,167.8µm
net238,167µm
net562,165.93µm
net42,165.66µm
net851,164.42µm
net436,164.21µm
net188,162.24µm
clknet_1_0__leaf_net894,162.06µm
net899,161.38µm
net227,160.78µm
net571,160.39µm
net473,160.12µm
net918,160.08µm
net461,158.16µm
net909,156.62µm
net895,156.54µm
net105,155.24µm
net666,152.92µm
net791,151.5µm
clknet_4_9_0_clk,150.86µm
net546,150.1µm
clknet_1_1__leaf_net365,150.06µm
clknet_4_0_0_clk,149.84µm
clknet_4_10_0_clk,149.4µm
net243,147.99µm
net469,146.42µm
net927,144.78µm
net396,144.57µm
net337,144.115µm
net775,144.1µm
net45,143.41µm
net703,142.18µm
net542,142.135µm
net889,142.06µm
clknet_1_0__leaf_net748,141.56µm
net341,141.49µm
net55,140.565µm
clknet_4_2_0_clk,140.28µm
net947,139.58µm
net867,139.4µm
net879,138.645µm
net162,137.98µm
net483,137.675µm
net344,136.065µm
net519,135.3µm
clknet_4_1_0_clk,134.09µm
net543,133.98µm
clknet_4_12_0_clk,133.83µm
clknet_1_0__leaf_net933,133.555µm
net796,132.84µm
net848,132.68µm
clknet_1_0__leaf_net794,132.24µm
net902,132.16µm
net1006,132.06µm
clknet_4_13_0_clk,131.34µm
net776,131.2µm
net484,130.37µm
clknet_1_1__leaf_net940,128.64µm
clknet_1_1__leaf_net748,128.52µm
net150,128.16µm
net217,128.13µm
net223,127.38µm
net347,127.12µm
net971,126.83µm
net760,126.825µm
clknet_1_0__leaf_net921,126.515µm
net68,125.56µm
net79,125.43µm
clknet_4_3_0_clk,124.98µm
net67,124.96µm
net441,123.78µm
net770,123.38µm
net943,122.985µm
net35,122.7µm
net939,122.04µm
net741,121.85µm
net395,121.27µm
net634,120.2µm
net95,119.89µm
net932,119.775µm
net568,119.44µm
clknet_4_8_0_clk,119.22µm
clknet_4_11_0_clk,118.23µm
net825,117.65µm
net803,117.58µm
net84,117.52µm
clknet_4_15_0_clk,116.94µm
net90,116.27µm
net894,115.94µm
net429,112.9µm
net47,111.75µm
net210,111.68µm
net876,111.56µm
net891,111µm
net514,110.06µm
net154,109.6µm
net914,109.3µm
net558,109.085µm
net343,109.025µm
net518,108.865µm
net108,108.68µm
net926,108.68µm
net1007,108.06µm
net269,107.225µm
net499,107.18µm
net378,106.6µm
net459,106.25µm
net93,105.67µm
net733,104.41µm
clknet_1_1__leaf_net584,104.38µm
net818,104.02µm
clknet_0_net894,103.9µm
net410,103.1µm
clknet_0_net899,102.9µm
net80,102.82µm
net831,102.48µm
clknet_0_net776,102.02µm
net331,101.94µm
net751,101.78µm
clknet_1_0__leaf_net904,101.5µm
net133,101.43µm
net199,100.28µm
net915,100.04µm
net797,99.76µm
net817,99.69µm
clknet_4_7_0_clk,99.66µm
net493,98.355µm
net852,98.35µm
net88,98.02µm
net621,97.37µm
clknet_4_14_0_clk,96.61µm
net91,96.02µm
net890,95.86µm
net807,95.76µm
net972,95.67µm
net236,95.54µm
clknet_1_0__leaf_net254,95.14µm
net779,94.595µm
net793,94.54µm
net866,93.74µm
net183,90.71µm
net147,90.08µm
net205,89.66µm
net481,89.445µm
net16,89.28µm
net322,88.73µm
net262,88µm
net743,87.96µm
net808,87.68µm
net349,87.65µm
net19,87.42µm
net569,87.36µm
net200,87.2µm
net134,86.74µm
net1020,86.12µm
net882,85.44µm
net917,85.1µm
net239,85.06µm
net43,85µm
net794,84.37µm
net366,83.8µm
net823,83.64µm
net701,83.48µm
clknet_1_0__leaf_net438,83.32µm
net451,83.28µm
net837,83.06µm
net620,83.055µm
clknet_1_0__leaf_net366,82.65µm
net116,82.45µm
net242,82.45µm
net271,82.36µm
clknet_1_1__leaf_net289,81.97µm
net244,81.54µm
net403,81.49µm
net584,81.08µm
net342,80.88µm
net549,80.575µm
net515,80.55µm
net106,80.5µm
net365,80.4µm
net422,80.05µm
net820,79.39µm
net778,79.31µm
net492,79.085µm
net735,78.66µm
net157,78.63µm
clknet_4_5_0_clk,78.55µm
net357,78.4µm
clknet_1_1__leaf_net161,78.175µm
net297,77.98µm
net213,77.64µm
net881,76.5µm
net1031,75.99µm
net949,75.92µm
clknet_1_0__leaf_net901,75.73µm
net929,75.64µm
net541,75.41µm
net196,75.34µm
net247,74.32µm
clknet_1_1__leaf_net292,74.15µm
net101,74.01µm
clknet_1_0__leaf_net940,73.81µm
net632,73.07µm
net742,72.38µm
net893,71.86µm
net464,71.83µm
net121,71.33µm
net312,71.08µm
net719,70.88µm
net755,70.54µm
clknet_1_0__leaf_net373,70.3µm
net811,69.86µm
net885,69.71µm
net722,69.42µm
clknet_1_0__leaf_net747,69.21µm
net964,69µm
clknet_1_1__leaf_net366,68.92µm
clknet_1_0__leaf_net399,68.66µm
net860,68.58µm
clknet_1_0__leaf_net365,68.4µm
net384,68.37µm
net661,68.28µm
net858,68.18µm
clknet_1_0__leaf_net472,67.92µm
net432,67.82µm
net780,67.8µm
net112,67.58µm
net385,66.71µm
net307,65.905µm
net720,65.64µm
net15,65.62µm
net18,65.48µm
net740,65.32µm
net373,65.3µm
net822,65.22µm
net732,65.14µm
net800,64.94µm
net467,64.76µm
net739,64.64µm
clknet_1_0__leaf_net812,64.61µm
net399,64.42µm
net129,64.4µm
net746,64.395µm
net314,64.23µm
clknet_1_1__leaf_net372,64.15µm
net149,64.08µm
net453,63.88µm
net222,63.86µm
net77,63.52µm
net521,63.26µm
net73,63.12µm
clknet_1_0__leaf_net289,63.02µm
net864,62.64µm
clknet_1_0__leaf_net440,62.24µm
net1,62.2µm
net928,62.14µm
clknet_1_1__leaf_net921,62.095µm
net957,61.7µm
net942,61.28µm
clknet_1_0__leaf_net372,61.28µm
net126,61.24µm
net195,60.98µm
net693,60.64µm
clknet_1_1__leaf_net933,60.58µm
clknet_0_net917,60.32µm
net787,60.225µm
net734,59.94µm
net824,59.92µm
net241,59.54µm
net591,58.8µm
clknet_1_0__leaf_net161,58.77µm
net832,58.74µm
net940,58.74µm
clknet_1_1__leaf_net777,58.5µm
net828,58.41µm
net933,58.1µm
net338,57.82µm
net173,57.79µm
net683,57.53µm
clknet_1_0__leaf_net795,57.3µm
net799,57.1µm
net197,56.975µm
net363,56.91µm
net748,56.9µm
net781,56.85µm
net798,56.43µm
net767,56.22µm
net819,55.89µm
net577,55.865µm
net295,55.84µm
net675,55.76µm
net816,55.49µm
net736,55.36µm
net165,55.115µm
net375,55.09µm
net821,54.75µm
net758,54.72µm
net874,54.72µm
net759,54.68µm
net376,54.64µm
clknet_1_0__leaf_net160,54.59µm
net1026,54.56µm
net872,54.44µm
clknet_1_0__leaf_net291,54.38µm
net263,54.35µm
net440,54.3µm
net175,54.26µm
clknet_1_0__leaf_net777,54.22µm
net34,54.03µm
net905,53.94µm
net158,53.43µm
net871,53.26µm
net503,53.02µm
