Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_101_617,VPWR,li1,291.1800,285.6000,1.799117
FILLER_0_101_613,VPWR,li1,288.1900,285.6000,1.799117
FILLER_0_101_601,VPWR,li1,284.7400,285.6000,1.799117
FILLER_0_101_589,VPWR,li1,279.2200,285.6000,1.799117
FILLER_0_101_585,VPWR,li1,275.3100,285.6000,1.799117
FILLER_0_101_573,VPWR,li1,271.8600,285.6000,1.799117
FILLER_0_101_561,VPWR,li1,266.3400,285.6000,1.799117
FILLER_0_101_557,VPWR,li1,262.4300,285.6000,1.799117
FILLER_0_101_545,VPWR,li1,258.9800,285.6000,1.799117
FILLER_0_101_533,VPWR,li1,253.4600,285.6000,1.799117
FILLER_0_101_529,VPWR,li1,249.5500,285.6000,1.799117
FILLER_0_101_517,VPWR,li1,246.1000,285.6000,1.799117
FILLER_0_101_505,VPWR,li1,240.5800,285.6000,1.799117
FILLER_0_101_502,VPWR,li1,236.9000,285.6000,1.799117
FILLER_0_101_494,VPWR,li1,234.6000,285.6000,1.799117
FILLER_0_101_485,VPWR,li1,228.8500,285.6000,1.799117
FILLER_0_101_475,VPWR,li1,224.2500,285.6000,1.799119
FILLER_0_101_447,VPWR,li1,211.3700,285.6000,1.799219
FILLER_0_101_436,VPWR,li1,206.3100,285.6000,1.799280
FILLER_0_101_429,VPWR,li1,203.0900,285.6000,1.799326
FILLER_0_101_423,VPWR,li1,201.4800,285.6000,1.799326
FILLER_0_101_419,VPWR,li1,198.4900,285.6000,1.799381
FILLER_0_101_415,VPWR,li1,196.6500,285.6000,1.799419
FILLER_0_101_405,VPWR,li1,192.2800,285.6000,1.799461
FILLER_0_101_393,VPWR,li1,189.0600,285.6000,1.799510
FILLER_0_101_391,VPWR,li1,185.6100,285.6000,1.799586
FILLER_0_101_385,VPWR,li1,184.0000,285.6000,1.799586
FILLER_0_101_361,VPWR,li1,171.8100,285.6000,1.799690
FILLER_0_101_351,VPWR,li1,167.4400,285.6000,1.799683
FILLER_0_101_333,VPWR,li1,158.9300,285.6000,1.799686
FILLER_0_101_321,VPWR,li1,155.9400,285.6000,1.799689
FILLER_0_101_309,VPWR,li1,150.4200,285.6000,1.799695
FILLER_0_101_307,VPWR,li1,146.9700,285.6000,1.799697
FILLER_0_101_301,VPWR,li1,144.6700,285.6000,1.799700
FILLER_0_101_289,VPWR,li1,141.2200,285.6000,1.799707
FILLER_0_101_277,VPWR,li1,133.6300,285.6000,1.799723
FILLER_0_101_265,VPWR,li1,130.1800,285.6000,1.799731
FILLER_0_101_253,VPWR,li1,124.6600,285.6000,1.799744
FILLER_0_101_249,VPWR,li1,120.7500,285.6000,1.799755
FILLER_0_101_237,VPWR,li1,117.3000,285.6000,1.799760
FILLER_0_101_225,VPWR,li1,111.7800,285.6000,1.799773
FILLER_0_101_221,VPWR,li1,107.8700,285.6000,1.799782
FILLER_0_101_209,VPWR,li1,104.4200,285.6000,1.799790
FILLER_0_101_197,VPWR,li1,98.9000,285.6000,1.799802
FILLER_0_101_193,VPWR,li1,94.9900,285.6000,1.799814
FILLER_0_101_181,VPWR,li1,91.5400,285.6000,1.799819
FILLER_0_101_169,VPWR,li1,86.0200,285.6000,1.799831
FILLER_0_101_165,VPWR,li1,82.1100,285.6000,1.799840
FILLER_0_101_153,VPWR,li1,78.6600,285.6000,1.799848
FILLER_0_101_141,VPWR,li1,73.1400,285.6000,1.799861
FILLER_0_101_137,VPWR,li1,69.2300,285.6000,1.799872
FILLER_0_101_125,VPWR,li1,65.7800,285.6000,1.799877
FILLER_0_101_113,VPWR,li1,60.2600,285.6000,1.799890
FILLER_0_101_109,VPWR,li1,56.3500,285.6000,1.799899
FILLER_0_101_97,VPWR,li1,52.9000,285.6000,1.799906
FILLER_0_101_85,VPWR,li1,47.3800,285.6000,1.799919
FILLER_0_101_81,VPWR,li1,43.4700,285.6000,1.799930
FILLER_0_101_69,VPWR,li1,40.0200,285.6000,1.799936
FILLER_0_101_57,VPWR,li1,34.5000,285.6000,1.799948
