net,length_um
net735,562.36µm
net732,534.625µm
net784,495.11µm
net897,479.045µm
net782,454.64µm
net759,451.81µm
net896,447.98µm
net746,422.98µm
net304,421.53µm
net863,420.59µm
net809,402.78µm
net220,402.325µm
net893,396.63µm
net874,395.01µm
net119,378.81µm
net882,364.47µm
clknet_0_clk,355.72µm
clknet_2_0__leaf_clk,345.67µm
net877,338.26µm
net778,338.16µm
net891,334.09µm
net865,327.395µm
net221,327.335µm
net827,327.09µm
net417,326.73µm
net739,324.27µm
net892,320.065µm
net870,313.9µm
clknet_2_1__leaf_clk,313.56µm
net878,301.335µm
net860,300.83µm
net339,300.81µm
net326,292.49µm
net795,285.42µm
net883,279.215µm
net788,277.74µm
net777,276.1µm
net398,270.93µm
net800,269.96µm
net886,266.95µm
clknet_2_3__leaf_clk,263µm
net873,262.99µm
net206,262.645µm
net762,261.22µm
net212,260.565µm
net733,257.885µm
clknet_1_0__leaf_net142,256.96µm
net256,256.29µm
net790,254.16µm
net816,253.67µm
net315,244.7µm
net205,244.47µm
net343,244.13µm
net411,243.02µm
net351,241.23µm
net121,238.99µm
clknet_2_2__leaf_clk,238.88µm
net740,237.84µm
net448,233.955µm
net163,232.75µm
net456,230.46µm
net303,230.28µm
net902,229.26µm
clk,228.71µm
net8,228.63µm
net881,224.26µm
net669,222.38µm
net752,222.15µm
net452,218.55µm
net420,217.525µm
net412,216.74µm
net483,215.74µm
net872,214.45µm
net804,212.305µm
clknet_1_0__leaf_net238,210.725µm
net97,204.135µm
net832,202.08µm
net128,201.695µm
net74,201.055µm
net209,200.4µm
net455,198.52µm
net314,198.24µm
net807,196.57µm
net526,195.14µm
net385,194.83µm
net791,193.5µm
net738,193.235µm
net826,191.17µm
net84,189.79µm
net756,185.61µm
clknet_1_1__leaf_net801,184.91µm
net750,182.11µm
clknet_1_1__leaf_net238,180.22µm
clknet_1_0__leaf_net794,180.12µm
net868,179.345µm
net14,177.97µm
net905,177.1µm
net539,175.2µm
net264,173.05µm
clknet_1_0__leaf_net476,171.65µm
net198,168.93µm
net69,168.84µm
net898,167.5µm
net317,166.17µm
net755,165.98µm
net34,163.88µm
net700,163.03µm
net646,162.03µm
net188,161.005µm
net301,160.62µm
net566,160.28µm
clknet_1_0__leaf_net801,159.88µm
clknet_1_1__leaf_net476,159.22µm
net25,158.705µm
net18,157.67µm
net68,157.4µm
net864,156.205µm
net186,154.135µm
net33,153.01µm
clknet_1_0__leaf_net379,150.14µm
net895,149.62µm
clknet_1_1__leaf_net818,148.36µm
net308,147.75µm
net536,147.055µm
net974,146.92µm
net564,146.68µm
net138,145.98µm
net98,144.485µm
clknet_1_0__leaf_net843,144.38µm
net967,144.24µm
clknet_1_1__leaf_net815,144.21µm
clknet_1_1__leaf_net671,143.89µm
net288,143.57µm
net907,143.36µm
net16,142.42µm
net964,137.18µm
net316,136.55µm
net855,135.73µm
net830,135.6µm
net127,135.265µm
net747,134.6µm
net765,134.6µm
net234,134.14µm
net370,132.88µm
net302,132.04µm
net813,131.88µm
net410,130.58µm
net875,130.22µm
net58,129.83µm
net525,128.83µm
clknet_0_net142,128.8µm
net856,128.32µm
net742,127.58µm
net320,127.41µm
net413,126.78µm
net793,126.56µm
net849,125.7µm
net265,124.26µm
net36,123.77µm
net13,122.9µm
clknet_1_1__leaf_net794,122.665µm
net342,122.19µm
net152,122.15µm
net238,121.75µm
net768,121.16µm
net815,116.96µm
net449,116.91µm
net88,116.2µm
clknet_leaf_23_clk,115.42µm
net196,113.42µm
net450,112.3µm
clknet_1_0__leaf_net818,111.085µm
net135,111.03µm
net973,110.56µm
net91,109.985µm
net797,109.11µm
net368,108.32µm
net38,108.02µm
clknet_leaf_32_clk,107.65µm
net511,107.37µm
clknet_leaf_3_clk,106.3µm
net794,105.42µm
net338,105.07µm
clknet_leaf_25_clk,105µm
net535,104.97µm
net443,104.56µm
net684,104.08µm
net568,104.04µm
net298,102.595µm
net459,102.44µm
clknet_leaf_20_clk,102.41µm
clknet_1_1__leaf_net142,102.04µm
net880,101.56µm
net85,101.31µm
net340,101.175µm
net970,100.96µm
clknet_leaf_27_clk,100.89µm
clknet_leaf_28_clk,100.8µm
net462,100.74µm
clknet_1_1__leaf_net379,100.67µm
net833,99.88µm
net125,99.59µm
net779,99.42µm
net861,99.375µm
net42,99.35µm
net975,99.04µm
net640,98.88µm
net142,98.5µm
net15,98.34µm
net743,98.135µm
net78,98.12µm
net734,97.78µm
net976,97.64µm
net233,97.05µm
net801,97.02µm
net305,95.32µm
net866,95.18µm
clknet_1_1__leaf_net289,94.85µm
net811,94.82µm
clknet_leaf_6_clk,94.44µm
net808,94.06µm
net736,93.54µm
net0,93.5µm
net496,93.2µm
net321,91.7µm
clknet_1_0__leaf_net815,90.91µm
net698,90.9µm
clknet_leaf_22_clk,90.59µm
net766,90.34µm
net847,90.1µm
net543,89.97µm
net75,89.94µm
clknet_1_0__leaf_net823,89.94µm
clknet_leaf_8_clk,89.84µm
net971,89.56µm
net11,89.25µm
net384,88.195µm
clknet_1_1__leaf_net852,86.82µm
clknet_leaf_24_clk,86.73µm
clknet_leaf_31_clk,86.61µm
net79,86.34µm
net471,85.99µm
net828,85.7µm
net395,85.685µm
net367,85.66µm
net719,85.66µm
net482,85.345µm
net310,84.89µm
clknet_leaf_0_clk,84.88µm
net799,84.82µm
net227,84.69µm
net825,83.65µm
clknet_leaf_15_clk,82.52µm
clknet_leaf_4_clk,82.44µm
in7,82.3µm
net90,81.96µm
net67,81.56µm
net879,81.36µm
net688,81.34µm
net176,81.16µm
net839,81.16µm
net451,80.925µm
clknet_1_0__leaf_net834,80.84µm
net744,80.58µm
net100,80.34µm
net704,79.61µm
net43,79.46µm
net844,79.46µm
clknet_leaf_7_clk,79.35µm
net353,79.1µm
net191,79.055µm
net822,78.16µm
net490,77.99µm
net40,77.76µm
net572,77.7µm
clknet_1_1__leaf_net146,77.46µm
net805,77.36µm
net89,77.26µm
net509,77.225µm
net76,77.21µm
net31,77.19µm
net803,76.98µm
clknet_1_1__leaf_net228,76.68µm
clknet_1_0__leaf_net489,76.02µm
net823,75.74µm
net504,75.56µm
net748,75.01µm
net840,74.84µm
clknet_1_0__leaf_net145,74.5µm
net375,74.22µm
net852,74.16µm
net894,73.86µm
net889,73.775µm
net228,73.76µm
net434,73.35µm
net570,73.285µm
net414,73.215µm
net379,73.12µm
net818,72.78µm
net528,72.76µm
net96,72.66µm
clknet_leaf_19_clk,72.51µm
net824,72.07µm
net197,71.93µm
net810,71.84µm
net838,71.8µm
clknet_1_1__leaf_net812,71.8µm
clknet_leaf_1_clk,71.75µm
clknet_leaf_26_clk,71.34µm
net20,70.76µm
net3,70.76µm
net903,70.66µm
net546,70.39µm
clknet_1_0__leaf_net671,70.33µm
net114,70.26µm
net489,70.14µm
net802,69.88µm
net888,69.035µm
net609,68.86µm
net215,68.74µm
clknet_1_0__leaf_net146,68.58µm
net274,68.23µm
net10,68.21µm
net436,67.61µm
net77,67.34µm
net145,66.88µm
net409,66.78µm
clknet_1_0__leaf_net289,66.765µm
clknet_leaf_17_clk,66.6µm
net785,66.45µm
net386,66.4µm
clknet_1_1__leaf_net145,66.355µm
net362,66.34µm
net637,65.72µm
net257,65.6µm
net884,65.365µm
net783,65.26µm
clknet_1_0__leaf_net269,65.2µm
net680,64.78µm
clknet_leaf_10_clk,64.66µm
net147,64.54µm
net836,64.16µm
net278,64.12µm
clknet_1_1__leaf_net670,63.92µm
net159,63.84µm
net453,63.83µm
net679,63.31µm
net845,63.16µm
clknet_1_1__leaf_net236,62.835µm
net573,62.54µm
net63,62.3µm
net648,62.25µm
net963,62.12µm
net699,61.81µm
net806,61.46µm
net426,61.38µm
clknet_leaf_18_clk,61.34µm
net213,60.87µm
net850,60.48µm
net202,60.375µm
clknet_leaf_29_clk,60.32µm
clknet_1_1__leaf_net691,60.31µm
net49,60.24µm
clknet_leaf_14_clk,59.91µm
net158,59.86µm
clknet_leaf_13_clk,59.56µm
net184,59.54µm
net703,59.5µm
net407,59.48µm
net651,58.98µm
net161,58.95µm
net199,58.64µm
net737,58.48µm
clknet_0_net829,58.48µm
net35,58.42µm
net282,58.395µm
net55,57.75µm
